[542, 329]
[folio, [104.0, 16.0, 121.0, 18.0], shoonya_2s6GCJKEERW0JY, 5700772]
[paragraph, [68.0, 62.0, 249.0, 18.0], Ukwa0mXlmz, 5700772]
[paragraph, [68.0, 80.0, 249.0, 18.0], Ukwa0mXlmz, 5700772]
[paragraph, [68.0, 98.0, 249.0, 18.0], Ukwa0mXlmz, 5700772]
[sidebar, [8.0, 74.0, 56.0, 18.0], shoonya_0sHAHMTUKUUVNR, 5700772]
[paragraph, [10.0, 116.0, 308.0, 18.0], 6ACf--cXMm, 5700772]
[paragraph, [10.0, 134.0, 308.0, 18.0], 6ACf--cXMm, 5700772]
[paragraph, [10.0, 152.0, 308.0, 18.0], 6ACf--cXMm, 5700772]
[paragraph, [10.0, 170.0, 308.0, 18.0], 6ACf--cXMm, 5700772]
[paragraph, [10.0, 188.0, 308.0, 18.0], 6ACf--cXMm, 5700772]
[paragraph, [2.0, 213.0, 308.0, 18.0], ap30g26E7J, 5700772]
[paragraph, [65.0, 236.0, 247.0, 18.0], lvOwpjVsGJ, 5700772]
[paragraph, [65.0, 254.0, 247.0, 18.0], lvOwpjVsGJ, 5700772]
[paragraph, [65.0, 272.0, 247.0, 18.0], lvOwpjVsGJ, 5700772]
[sidebar, [8.0, 243.0, 52.0, 18.0], shoonya_1s29LRU5EBP1B4, 5700772]
[paragraph, [8.0, 301.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 319.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 337.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 355.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 373.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 391.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 409.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 427.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 445.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 463.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 481.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 499.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
[paragraph, [8.0, 517.0, 299.0, 18.0], jESiZbdQoJ, 5700772]
