[515, 727]
[section-title, [205.0, 43.0, 74.0, 30.0], G2p3spPV-w, 6533986]
[paragraph, [423.0, 70.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [423.0, 88.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [423.0, 106.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [423.0, 124.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [423.0, 142.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [423.0, 160.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [423.0, 178.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [423.0, 196.0, 283.0, 18.0], shoonya_0sTSAY99UPNL01, 6533986]
[paragraph, [156.0, 80.0, 172.0, 18.0], r1p9H1NVsE, 6533986]
[paragraph, [156.0, 98.0, 172.0, 18.0], r1p9H1NVsE, 6533986]
[paragraph, [166.0, 124.0, 159.0, 18.0], RR1LEljzaY, 6533986]
[paragraph, [166.0, 142.0, 159.0, 18.0], RR1LEljzaY, 6533986]
[paragraph, [166.0, 166.0, 161.0, 18.0], igXUFOHkLp, 6533986]
[paragraph, [166.0, 184.0, 161.0, 18.0], igXUFOHkLp, 6533986]
[paragraph, [167.0, 208.0, 163.0, 18.0], KsLl7dW5dk, 6533986]
[paragraph, [167.0, 226.0, 163.0, 18.0], KsLl7dW5dk, 6533986]
[paragraph, [427.0, 215.0, 278.0, 18.0], -423kDjFnb, 6533986]
[paragraph, [427.0, 233.0, 278.0, 18.0], -423kDjFnb, 6533986]
[paragraph, [427.0, 251.0, 278.0, 18.0], -423kDjFnb, 6533986]
[paragraph, [427.0, 269.0, 278.0, 18.0], -423kDjFnb, 6533986]
[paragraph, [427.0, 287.0, 278.0, 18.0], -423kDjFnb, 6533986]
[author, [337.0, 241.0, 43.0, 18.0], GDsNYOuWvz, 6533986]
[paragraph, [170.0, 319.0, 163.0, 18.0], UBatdE0Ji8, 6533986]
[paragraph, [170.0, 337.0, 163.0, 18.0], UBatdE0Ji8, 6533986]
[paragraph, [424.0, 332.0, 282.0, 18.0], Qzb-vZ13ii, 6533986]
[paragraph, [424.0, 350.0, 282.0, 18.0], Qzb-vZ13ii, 6533986]
[paragraph, [424.0, 368.0, 282.0, 18.0], Qzb-vZ13ii, 6533986]
[paragraph, [170.0, 360.0, 159.0, 18.0], w7Lc6hxtq0, 6533986]
[paragraph, [170.0, 378.0, 159.0, 18.0], w7Lc6hxtq0, 6533986]
[paragraph, [424.0, 383.0, 283.0, 18.0], vMR21sl81y, 6533986]
[paragraph, [424.0, 401.0, 283.0, 18.0], vMR21sl81y, 6533986]
[author, [294.0, 397.0, 94.0, 18.0], KpeeWSW8h4, 6533986]
[folio, [426.0, 435.0, 46.0, 18.0], vhP_LSILJI, 6533986]
[folio, [347.0, 460.0, 47.0, 18.0], gxxbDomhu0, 6533986]
