[1987, 1270]
[folio, [578.0, 119.0, 118.0, 36.0], shoonya_0sBBGUM1I76Z9O, 5683183]
[paragraph, [127.0, 185.0, 1016.0, 36.0], m1j-4BQqjx, 5683183]
[paragraph, [127.0, 221.0, 1016.0, 36.0], m1j-4BQqjx, 5683183]
[paragraph, [128.0, 297.0, 1012.0, 36.0], shoonya_3sJJGIJSJQQLWL, 5683183]
[paragraph, [128.0, 333.0, 1012.0, 36.0], shoonya_3sJJGIJSJQQLWL, 5683183]
[paragraph, [128.0, 400.0, 1015.0, 36.0], shoonya_4sBBQWHJIJ9KBM, 5683183]
[paragraph, [128.0, 436.0, 1015.0, 36.0], shoonya_4sBBQWHJIJ9KBM, 5683183]
[paragraph, [128.0, 472.0, 1015.0, 36.0], shoonya_4sBBQWHJIJ9KBM, 5683183]
[paragraph, [128.0, 508.0, 1015.0, 36.0], shoonya_4sBBQWHJIJ9KBM, 5683183]
[paragraph, [128.0, 544.0, 1015.0, 36.0], shoonya_4sBBQWHJIJ9KBM, 5683183]
[paragraph, [126.0, 608.0, 1016.0, 36.0], shoonya_5sWESG3C6ZM6SX, 5683183]
[paragraph, [126.0, 644.0, 1016.0, 36.0], shoonya_5sWESG3C6ZM6SX, 5683183]
[paragraph, [126.0, 680.0, 1016.0, 36.0], shoonya_5sWESG3C6ZM6SX, 5683183]
[paragraph, [126.0, 716.0, 1016.0, 36.0], shoonya_5sWESG3C6ZM6SX, 5683183]
[paragraph, [124.0, 770.0, 1020.0, 36.0], shoonya_6sQXQWFF9RPPLM, 5683183]
[paragraph, [124.0, 806.0, 1020.0, 36.0], shoonya_6sQXQWFF9RPPLM, 5683183]
[paragraph, [170.0, 875.0, 161.0, 36.0], shoonya_7sT7J7LVJHUF7B, 5683183]
[paragraph, [127.0, 923.0, 1017.0, 36.0], shoonya_8sNZ9JRM4U12IU, 5683183]
[paragraph, [127.0, 959.0, 1017.0, 36.0], shoonya_8sNZ9JRM4U12IU, 5683183]
[paragraph, [127.0, 995.0, 1017.0, 36.0], shoonya_8sNZ9JRM4U12IU, 5683183]
[paragraph, [127.0, 1031.0, 1017.0, 36.0], shoonya_8sNZ9JRM4U12IU, 5683183]
[paragraph, [125.0, 1082.0, 1019.0, 36.0], y7qQ30LyMI, 5683183]
[paragraph, [125.0, 1118.0, 1019.0, 36.0], y7qQ30LyMI, 5683183]
[paragraph, [125.0, 1154.0, 1019.0, 36.0], y7qQ30LyMI, 5683183]
[paragraph, [125.0, 1190.0, 1019.0, 36.0], y7qQ30LyMI, 5683183]
[paragraph, [122.0, 1239.0, 1022.0, 36.0], kXnwXNnQ0R, 5683183]
[paragraph, [122.0, 1275.0, 1022.0, 36.0], kXnwXNnQ0R, 5683183]
[paragraph, [122.0, 1344.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1380.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1416.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1452.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1488.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1524.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1560.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1596.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1632.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1668.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1704.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [122.0, 1740.0, 1023.0, 36.0], 3im0j01pYN, 5683183]
[paragraph, [169.0, 1818.0, 979.0, 36.0], IF2aTBLJjk, 5683183]
