[1241, 798]
[folio, [90.0, 66.0, 133.0, 18.0], shoonya_4sQNA7QVOL63A7, 5701969]
[paragraph, [88.0, 115.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 133.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 151.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 169.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 187.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 205.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 223.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 241.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 259.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 277.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 295.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 313.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 331.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 349.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 367.0, 617.0, 18.0], shoonya_5sFCG247NA3HNI, 5701969]
[paragraph, [88.0, 413.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 431.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 449.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 467.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 485.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 503.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 521.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 539.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 557.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 575.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 593.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 611.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 629.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 647.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 665.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 683.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [88.0, 701.0, 619.0, 18.0], shoonya_0sZKHV4XCIKAZV, 5701969]
[paragraph, [91.0, 744.0, 617.0, 18.0], shoonya_6sBGKXJJM6KKKK, 5701969]
[paragraph, [91.0, 762.0, 617.0, 18.0], shoonya_6sBGKXJJM6KKKK, 5701969]
[paragraph, [91.0, 780.0, 617.0, 18.0], shoonya_6sBGKXJJM6KKKK, 5701969]
[paragraph, [91.0, 798.0, 617.0, 18.0], shoonya_6sBGKXJJM6KKKK, 5701969]
[paragraph, [91.0, 816.0, 617.0, 18.0], shoonya_6sBGKXJJM6KKKK, 5701969]
[paragraph, [91.0, 834.0, 617.0, 18.0], shoonya_6sBGKXJJM6KKKK, 5701969]
[paragraph, [87.0, 865.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 883.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 901.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 919.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 937.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 955.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 973.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 991.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 1009.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 1027.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 1045.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 1063.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 1081.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [87.0, 1099.0, 621.0, 18.0], shoonya_2sELQP7EV45Y52, 5701969]
[paragraph, [146.0, 1127.0, 561.0, 18.0], shoonya_3s897BRTZMN4L9, 5701969]
[paragraph, [146.0, 1145.0, 561.0, 18.0], shoonya_3s897BRTZMN4L9, 5701969]
