[2444, 1820]
[answer, [874.0, 143.0, 761.0, 36.0], D500q7IcuB, 5693907]
[answer, [895.0, 281.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [895.0, 317.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [895.0, 353.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [895.0, 389.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [895.0, 425.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [895.0, 461.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [895.0, 497.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [895.0, 533.0, 736.0, 36.0], yCt0f6a_tU, 5693907]
[answer, [99.0, 288.0, 761.0, 36.0], Hiic7U8KgF, 5693907]
[quote, [682.0, 358.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 394.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 430.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 466.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 502.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 538.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 574.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 610.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 646.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 682.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 718.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 754.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 790.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 826.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 862.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 898.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 934.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[quote, [682.0, 970.0, 386.0, 36.0], y2UC6wenQr, 5693907]
[answer, [106.0, 458.0, 558.0, 36.0], UifE-WhWuZ, 5693907]
[answer, [106.0, 494.0, 558.0, 36.0], UifE-WhWuZ, 5693907]
[answer, [106.0, 530.0, 558.0, 36.0], UifE-WhWuZ, 5693907]
[answer, [106.0, 566.0, 558.0, 36.0], UifE-WhWuZ, 5693907]
[answer, [106.0, 602.0, 558.0, 36.0], UifE-WhWuZ, 5693907]
[answer, [106.0, 638.0, 558.0, 36.0], UifE-WhWuZ, 5693907]
[answer, [106.0, 674.0, 558.0, 36.0], UifE-WhWuZ, 5693907]
[answer, [1086.0, 801.0, 533.0, 36.0], nAkYF_QFuW, 5693907]
[answer, [1086.0, 837.0, 533.0, 36.0], nAkYF_QFuW, 5693907]
[answer, [1086.0, 873.0, 533.0, 36.0], nAkYF_QFuW, 5693907]
[answer, [1086.0, 909.0, 533.0, 36.0], nAkYF_QFuW, 5693907]
[answer, [113.0, 854.0, 552.0, 36.0], jCSooPDkA6, 5693907]
[answer, [113.0, 890.0, 552.0, 36.0], jCSooPDkA6, 5693907]
[answer, [113.0, 926.0, 552.0, 36.0], jCSooPDkA6, 5693907]
[answer, [113.0, 962.0, 552.0, 36.0], jCSooPDkA6, 5693907]
[answer, [118.0, 1097.0, 724.0, 36.0], N3ARgoupSI, 5693907]
[answer, [118.0, 1133.0, 724.0, 36.0], N3ARgoupSI, 5693907]
[answer, [118.0, 1169.0, 724.0, 36.0], N3ARgoupSI, 5693907]
[answer, [890.0, 1112.0, 754.0, 36.0], n3PJFMKsBX, 5693907]
[answer, [890.0, 1148.0, 754.0, 36.0], n3PJFMKsBX, 5693907]
[answer, [890.0, 1184.0, 754.0, 36.0], n3PJFMKsBX, 5693907]
[figure-caption, [1165.0, 1267.0, 447.0, 36.0], UcO2pqOOLh, 5693907]
