[2339, 1656]
[paragraph, [134.0, 96.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 132.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 168.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 204.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 240.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 276.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 312.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 348.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 384.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 420.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 456.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 492.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 528.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 564.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 600.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 636.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 672.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 708.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 744.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [134.0, 780.0, 707.0, 36.0], shoonya_0sX9MNRJIHVMK1, 5750186]
[paragraph, [867.0, 96.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 132.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 168.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 204.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 240.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 276.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 312.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 348.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 384.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [867.0, 420.0, 702.0, 36.0], shoonya_3sRJC4RYX95E45, 5750186]
[paragraph, [941.0, 469.0, 458.0, 36.0], shoonya_8sABV485UEEO17, 5750186]
[paragraph, [870.0, 578.0, 701.0, 36.0], shoonya_6s5X7N2LN9II04, 5750186]
[paragraph, [870.0, 614.0, 701.0, 36.0], shoonya_6s5X7N2LN9II04, 5750186]
[paragraph, [870.0, 650.0, 701.0, 36.0], shoonya_6s5X7N2LN9II04, 5750186]
[paragraph, [870.0, 686.0, 701.0, 36.0], shoonya_6s5X7N2LN9II04, 5750186]
[paragraph, [870.0, 722.0, 701.0, 36.0], shoonya_6s5X7N2LN9II04, 5750186]
[paragraph, [869.0, 796.0, 706.0, 36.0], shoonya_4sHOB5DEAPL7FK, 5750186]
[paragraph, [869.0, 832.0, 706.0, 36.0], shoonya_4sHOB5DEAPL7FK, 5750186]
[paragraph, [869.0, 868.0, 706.0, 36.0], shoonya_4sHOB5DEAPL7FK, 5750186]
[paragraph, [869.0, 904.0, 706.0, 36.0], shoonya_4sHOB5DEAPL7FK, 5750186]
[paragraph, [869.0, 940.0, 706.0, 36.0], shoonya_4sHOB5DEAPL7FK, 5750186]
[paragraph, [141.0, 895.0, 705.0, 36.0], shoonya_1s6ME99J31GN48, 5750186]
[paragraph, [141.0, 931.0, 705.0, 36.0], shoonya_1s6ME99J31GN48, 5750186]
[paragraph, [141.0, 967.0, 705.0, 36.0], shoonya_1s6ME99J31GN48, 5750186]
