[1461, 1123]
[section-title, [123.0, 103.0, 165.0, 30.0], G-ztGbrggU, 5758813]
[section-title, [155.0, 178.0, 409.0, 30.0], i4A30TiT6o, 5758813]
[unordered-list, [132.0, 244.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 262.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 280.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 298.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 316.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 334.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 352.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 370.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 388.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 406.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 424.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 442.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 460.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 478.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[unordered-list, [132.0, 496.0, 827.0, 18.0], shoonya_1s9134UP3LH93T, 5758813]
[paragraph, [179.0, 659.0, 725.0, 18.0], shoonya_3s1QUDYW58K2DX, 5758813]
[paragraph, [179.0, 677.0, 725.0, 18.0], shoonya_3s1QUDYW58K2DX, 5758813]
[paragraph, [179.0, 695.0, 725.0, 18.0], shoonya_3s1QUDYW58K2DX, 5758813]
[paragraph, [179.0, 713.0, 725.0, 18.0], shoonya_3s1QUDYW58K2DX, 5758813]
[paragraph, [179.0, 731.0, 725.0, 18.0], shoonya_3s1QUDYW58K2DX, 5758813]
[paragraph, [179.0, 749.0, 725.0, 18.0], shoonya_3s1QUDYW58K2DX, 5758813]
[paragraph, [178.0, 783.0, 202.0, 18.0], r6lWlpzMK3, 5758813]
[paragraph, [178.0, 801.0, 202.0, 18.0], r6lWlpzMK3, 5758813]
[paragraph, [131.0, 843.0, 682.0, 18.0], JAeYyBYTId, 5758813]
[paragraph, [131.0, 861.0, 682.0, 18.0], JAeYyBYTId, 5758813]
[paragraph, [137.0, 906.0, 439.0, 18.0], pZw-D96xiO, 5758813]
[paragraph, [137.0, 924.0, 439.0, 18.0], pZw-D96xiO, 5758813]
[paragraph, [137.0, 942.0, 439.0, 18.0], pZw-D96xiO, 5758813]
[paragraph, [137.0, 960.0, 439.0, 18.0], pZw-D96xiO, 5758813]
[paragraph, [137.0, 978.0, 439.0, 18.0], pZw-D96xiO, 5758813]
[paragraph, [131.0, 1017.0, 795.0, 18.0], 8Rs5Ta07yt, 5758813]
[paragraph, [131.0, 1035.0, 795.0, 18.0], 8Rs5Ta07yt, 5758813]
[paragraph, [131.0, 1053.0, 795.0, 18.0], 8Rs5Ta07yt, 5758813]
[paragraph, [131.0, 1071.0, 795.0, 18.0], 8Rs5Ta07yt, 5758813]
