[2339, 1654]
[folio, [1316.0, 55.0, 234.0, 36.0], HeukRJGrBT, 5750816]
[paragraph, [257.0, 109.0, 1041.0, 36.0], shoonya_1s96T2QLAFK8KD, 5750816]
[reference, [955.0, 188.0, 476.0, 36.0], syapYI0xmY, 5750816]
[paragraph, [95.0, 244.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [95.0, 280.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [95.0, 316.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [95.0, 352.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [95.0, 388.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [95.0, 424.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [95.0, 460.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [95.0, 496.0, 1471.0, 36.0], vwezi84ItP, 5750816]
[paragraph, [234.0, 522.0, 978.0, 36.0], jesJvQ8mTO, 5750816]
[paragraph, [234.0, 558.0, 978.0, 36.0], jesJvQ8mTO, 5750816]
[reference, [947.0, 612.0, 441.0, 36.0], shoonya_0sMFF6FF5G3Z3R, 5750816]
[paragraph, [60.0, 673.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 709.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 745.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 781.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 817.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 853.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 889.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 925.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 961.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 997.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [60.0, 1033.0, 1469.0, 36.0], ejIojDwdGs, 5750816]
[paragraph, [225.0, 1056.0, 1081.0, 36.0], TshInmZdB2, 5750816]
[paragraph, [225.0, 1092.0, 1081.0, 36.0], TshInmZdB2, 5750816]
[reference, [970.0, 1156.0, 413.0, 36.0], shoonya_4sXZN4ZJ55OBOA, 5750816]
[paragraph, [105.0, 1201.0, 1446.0, 36.0], dEUvCrkDT-, 5750816]
[paragraph, [105.0, 1237.0, 1446.0, 36.0], dEUvCrkDT-, 5750816]
[paragraph, [105.0, 1273.0, 1446.0, 36.0], dEUvCrkDT-, 5750816]
[paragraph, [105.0, 1309.0, 1446.0, 36.0], dEUvCrkDT-, 5750816]
[paragraph, [105.0, 1345.0, 1446.0, 36.0], dEUvCrkDT-, 5750816]
[paragraph, [105.0, 1381.0, 1446.0, 36.0], dEUvCrkDT-, 5750816]
[paragraph, [240.0, 1423.0, 1032.0, 36.0], shoonya_2sNIGIEJYVCR9D, 5750816]
[reference, [938.0, 1487.0, 466.0, 36.0], M7RdFcRNfe, 5750816]
[reference, [938.0, 1523.0, 466.0, 36.0], M7RdFcRNfe, 5750816]
[paragraph, [87.0, 1555.0, 1452.0, 36.0], dOiXGiJ9lw, 5750816]
[paragraph, [87.0, 1591.0, 1452.0, 36.0], dOiXGiJ9lw, 5750816]
[paragraph, [87.0, 1627.0, 1452.0, 36.0], dOiXGiJ9lw, 5750816]
[paragraph, [87.0, 1663.0, 1452.0, 36.0], dOiXGiJ9lw, 5750816]
[paragraph, [217.0, 1715.0, 1191.0, 36.0], 393k4Y2iNG, 5750816]
[paragraph, [217.0, 1751.0, 1191.0, 36.0], 393k4Y2iNG, 5750816]
[paragraph, [217.0, 1787.0, 1191.0, 36.0], 393k4Y2iNG, 5750816]
[paragraph, [217.0, 1823.0, 1191.0, 36.0], 393k4Y2iNG, 5750816]
[reference, [942.0, 1859.0, 442.0, 36.0], shoonya_3sUG3LGBOQQQ4J, 5750816]
[paragraph, [66.0, 1908.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 1944.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 1980.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 2016.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 2052.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 2088.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 2124.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 2160.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
[paragraph, [66.0, 2196.0, 1484.0, 36.0], Z-5zOYcipY, 5750816]
