[1050, 693]
[folio, [84.0, 78.0, 86.0, 18.0], shoonya_1sC9JT1THC21HG, 5702290]
[folio, [84.0, 96.0, 86.0, 18.0], shoonya_1sC9JT1THC21HG, 5702290]
[paragraph, [81.0, 125.0, 530.0, 18.0], shoonya_0sOVRNG4K7D6ZS, 5702290]
[paragraph, [81.0, 143.0, 530.0, 18.0], shoonya_0sOVRNG4K7D6ZS, 5702290]
[paragraph, [81.0, 161.0, 530.0, 18.0], shoonya_0sOVRNG4K7D6ZS, 5702290]
[paragraph, [81.0, 179.0, 530.0, 18.0], shoonya_0sOVRNG4K7D6ZS, 5702290]
[paragraph, [81.0, 197.0, 530.0, 18.0], shoonya_0sOVRNG4K7D6ZS, 5702290]
[paragraph, [79.0, 228.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 246.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 264.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 282.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 300.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 318.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 336.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 354.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 372.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 390.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 408.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [79.0, 426.0, 531.0, 18.0], shoonya_2s8W9798PF2MQ3, 5702290]
[paragraph, [75.0, 450.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [75.0, 468.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [75.0, 486.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [75.0, 504.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [75.0, 522.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [75.0, 540.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [75.0, 558.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [75.0, 576.0, 536.0, 18.0], svJYotHp8_, 5702290]
[paragraph, [73.0, 608.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 626.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 644.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 662.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 680.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 698.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 716.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 734.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 752.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 770.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 788.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 806.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 824.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 842.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 860.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 878.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 896.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 914.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 932.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
[paragraph, [73.0, 950.0, 540.0, 18.0], cyrUqlT3JI, 5702290]
