[789, 571]
[folio, [221.0, 53.0, 122.0, 18.0], shoonya_2sKIAHLKM5DJPH, 5702492]
[paragraph, [54.0, 85.0, 456.0, 18.0], shoonya_0sSA6D17KQQVDN, 5702492]
[paragraph, [54.0, 103.0, 456.0, 18.0], shoonya_0sSA6D17KQQVDN, 5702492]
[paragraph, [54.0, 121.0, 456.0, 18.0], shoonya_0sSA6D17KQQVDN, 5702492]
[paragraph, [54.0, 141.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 159.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 177.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 195.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 213.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 231.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 249.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 267.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 285.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 303.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 321.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 339.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [54.0, 357.0, 459.0, 18.0], HR_JnEdnft, 5702492]
[paragraph, [53.0, 375.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 393.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 411.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 429.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 447.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 465.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 483.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 501.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 519.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 537.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 555.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 573.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 591.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 609.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 627.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [53.0, 645.0, 459.0, 18.0], shoonya_1sFJ6DAU9VNIZ0, 5702492]
[paragraph, [57.0, 682.0, 460.0, 18.0], KJOEAa63Bt, 5702492]
[paragraph, [57.0, 700.0, 460.0, 18.0], KJOEAa63Bt, 5702492]
