[1304, 822]
[folio, [587.0, 33.0, 189.0, 18.0], oshAbS9YZS, 5660899]
[folio, [587.0, 51.0, 189.0, 18.0], oshAbS9YZS, 5660899]
[paragraph, [42.0, 80.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 98.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 116.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 134.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 152.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 170.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 188.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 206.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 224.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 242.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [42.0, 260.0, 739.0, 18.0], QvAPvDo8Db, 5660899]
[paragraph, [124.0, 291.0, 506.0, 18.0], jkngZ9MoB9, 5660899]
[paragraph, [124.0, 309.0, 506.0, 18.0], jkngZ9MoB9, 5660899]
[paragraph, [124.0, 327.0, 506.0, 18.0], jkngZ9MoB9, 5660899]
[paragraph, [124.0, 345.0, 506.0, 18.0], jkngZ9MoB9, 5660899]
[paragraph, [47.0, 373.0, 728.0, 18.0], wig8USil5x, 5660899]
[paragraph, [47.0, 391.0, 728.0, 18.0], wig8USil5x, 5660899]
[paragraph, [47.0, 409.0, 728.0, 18.0], wig8USil5x, 5660899]
[paragraph, [47.0, 427.0, 728.0, 18.0], wig8USil5x, 5660899]
[paragraph, [44.0, 454.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 472.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 490.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 508.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 526.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 544.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 562.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 580.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 598.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 616.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 634.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 652.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [44.0, 670.0, 737.0, 18.0], 95gVchS1QX, 5660899]
[paragraph, [33.0, 702.0, 751.0, 18.0], 1GDk4RvMuu, 5660899]
[paragraph, [33.0, 720.0, 751.0, 18.0], 1GDk4RvMuu, 5660899]
[paragraph, [33.0, 738.0, 751.0, 18.0], 1GDk4RvMuu, 5660899]
[paragraph, [33.0, 756.0, 751.0, 18.0], 1GDk4RvMuu, 5660899]
[paragraph, [33.0, 774.0, 751.0, 18.0], 1GDk4RvMuu, 5660899]
[paragraph, [33.0, 792.0, 751.0, 18.0], 1GDk4RvMuu, 5660899]
[paragraph, [44.0, 824.0, 729.0, 18.0], RycqWpY8kk, 5660899]
[paragraph, [44.0, 842.0, 729.0, 18.0], RycqWpY8kk, 5660899]
[paragraph, [44.0, 860.0, 729.0, 18.0], RycqWpY8kk, 5660899]
[paragraph, [44.0, 878.0, 729.0, 18.0], RycqWpY8kk, 5660899]
[section-title, [241.0, 907.0, 346.0, 30.0], Oec8OHyEDO, 5660899]
[paragraph, [46.0, 954.0, 732.0, 18.0], 5w4z1amQP8, 5660899]
[paragraph, [46.0, 972.0, 732.0, 18.0], 5w4z1amQP8, 5660899]
[paragraph, [46.0, 990.0, 732.0, 18.0], 5w4z1amQP8, 5660899]
[paragraph, [46.0, 1008.0, 732.0, 18.0], 5w4z1amQP8, 5660899]
[paragraph, [46.0, 1026.0, 732.0, 18.0], 5w4z1amQP8, 5660899]
[paragraph, [46.0, 1044.0, 732.0, 18.0], 5w4z1amQP8, 5660899]
[paragraph, [46.0, 1062.0, 732.0, 18.0], 5w4z1amQP8, 5660899]
[sub-section-title, [48.0, 1085.0, 148.0, 25.5], TJpTXXQTPs, 5660899]
[paragraph, [129.0, 1120.0, 534.0, 18.0], shoonya_2sDXISYM6FSH69, 5660899]
[paragraph, [129.0, 1138.0, 534.0, 18.0], shoonya_2sDXISYM6FSH69, 5660899]
[paragraph, [129.0, 1156.0, 534.0, 18.0], shoonya_2sDXISYM6FSH69, 5660899]
[paragraph, [129.0, 1174.0, 534.0, 18.0], shoonya_2sDXISYM6FSH69, 5660899]
[folio, [54.0, 1225.0, 717.0, 18.0], shoonya_1s9BY1T5UV4UW1, 5660899]
[folio, [54.0, 1243.0, 717.0, 18.0], shoonya_1s9BY1T5UV4UW1, 5660899]
[website-link, [499.0, 1259.0, 206.0, 18.0], c8wBAos6Ra, 5660899]
[website-link, [109.0, 1261.0, 230.0, 18.0], 3etWWCKTO0, 5660899]
