[1754, 1241]
[folio, [190.0, 131.0, 850.0, 36.0], shoonya_0sCRNBMY5C0YLG, 6468926]
[sidebar, [35.0, 268.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 304.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 340.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 376.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 412.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 448.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 484.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 520.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 556.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 592.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 628.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 664.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 700.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 736.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 772.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 808.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 844.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 880.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 916.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 952.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 988.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1024.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1060.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1096.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1132.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1168.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1204.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1240.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1276.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1312.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1348.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1384.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1420.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[sidebar, [35.0, 1456.0, 122.0, 36.0], KGW-fWRcdd, 6468926]
[unordered-list, [195.0, 1033.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1069.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1105.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1141.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1177.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1213.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1249.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1285.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1321.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1357.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1393.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1429.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1465.0, 873.0, 36.0], iPCUrny65z, 6468926]
[unordered-list, [195.0, 1501.0, 873.0, 36.0], iPCUrny65z, 6468926]
