[2035, 1451]
[paragraph, [189.0, 167.0, 1092.0, 36.0], shoonya_2s80C0GBU520NT, 5651572]
[paragraph, [189.0, 203.0, 1092.0, 36.0], shoonya_2s80C0GBU520NT, 5651572]
[paragraph, [189.0, 239.0, 1092.0, 36.0], shoonya_2s80C0GBU520NT, 5651572]
[paragraph, [189.0, 275.0, 1092.0, 36.0], shoonya_2s80C0GBU520NT, 5651572]
[paragraph, [189.0, 311.0, 1092.0, 36.0], shoonya_2s80C0GBU520NT, 5651572]
[paragraph, [189.0, 347.0, 1092.0, 36.0], shoonya_2s80C0GBU520NT, 5651572]
[paragraph, [189.0, 383.0, 1092.0, 36.0], shoonya_2s80C0GBU520NT, 5651572]
[paragraph, [187.0, 461.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 497.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 533.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 569.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 605.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 641.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 677.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 713.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 749.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [187.0, 785.0, 1096.0, 36.0], shoonya_1sDIAAN2RBMOY5, 5651572]
[paragraph, [192.0, 885.0, 1087.0, 36.0], shoonya_4sDICGJRGE3RO6, 5651572]
[paragraph, [192.0, 921.0, 1087.0, 36.0], shoonya_4sDICGJRGE3RO6, 5651572]
[paragraph, [192.0, 957.0, 1087.0, 36.0], shoonya_4sDICGJRGE3RO6, 5651572]
[paragraph, [192.0, 993.0, 1087.0, 36.0], shoonya_4sDICGJRGE3RO6, 5651572]
[paragraph, [192.0, 1029.0, 1087.0, 36.0], shoonya_4sDICGJRGE3RO6, 5651572]
[paragraph, [192.0, 1065.0, 1087.0, 36.0], shoonya_4sDICGJRGE3RO6, 5651572]
[paragraph, [192.0, 1101.0, 1087.0, 36.0], shoonya_4sDICGJRGE3RO6, 5651572]
[paragraph, [188.0, 1178.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1214.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1250.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1286.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1322.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1358.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1394.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1430.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1466.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1502.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1538.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1574.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1610.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1646.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1682.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1718.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1754.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1790.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
[paragraph, [188.0, 1826.0, 1094.0, 36.0], shoonya_0sOAK1M4HN6IXR, 5651572]
