[3509, 2480]
[paragraph, [355.0, 383.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 435.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 488.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 540.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 593.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 645.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 698.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 750.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 803.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 855.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 908.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 960.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 1013.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 1065.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 1118.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 1170.5, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 1223.0, 1780.0, 52.5], shoonya_0sSVUMP95V4GMJ, 5724529]
[paragraph, [355.0, 1311.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1363.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1416.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1468.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1521.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1573.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1626.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1678.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1731.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1783.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1836.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1888.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1941.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 1993.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2046.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2098.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2151.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2203.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2256.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2308.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2361.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2413.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2466.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2518.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2571.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2623.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2676.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2728.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2781.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2833.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2886.0, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
[paragraph, [355.0, 2938.5, 1777.0, 52.5], shoonya_1sUMPZW6RM2PGX, 5724529]
