[2334, 1650]
[paragraph, [206.0, 159.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 195.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 231.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 267.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 303.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 339.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 375.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 411.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 447.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [206.0, 483.0, 1151.0, 36.0], shoonya_1sJ8NJLOMGWDL5, 5652867]
[paragraph, [211.0, 557.0, 1149.0, 36.0], shoonya_2s4QOKBSSRUGAH, 5652867]
[paragraph, [211.0, 593.0, 1149.0, 36.0], shoonya_2s4QOKBSSRUGAH, 5652867]
[paragraph, [211.0, 629.0, 1149.0, 36.0], shoonya_2s4QOKBSSRUGAH, 5652867]
[paragraph, [211.0, 665.0, 1149.0, 36.0], shoonya_2s4QOKBSSRUGAH, 5652867]
[paragraph, [212.0, 730.0, 1149.0, 36.0], shoonya_5sLP7IN5LH1MC4, 5652867]
[paragraph, [212.0, 766.0, 1149.0, 36.0], shoonya_5sLP7IN5LH1MC4, 5652867]
[paragraph, [212.0, 802.0, 1149.0, 36.0], shoonya_5sLP7IN5LH1MC4, 5652867]
[paragraph, [210.0, 835.0, 1154.0, 36.0], shoonya_4sM7KB7FIXI6S2, 5652867]
[paragraph, [210.0, 871.0, 1154.0, 36.0], shoonya_4sM7KB7FIXI6S2, 5652867]
[paragraph, [210.0, 907.0, 1154.0, 36.0], shoonya_4sM7KB7FIXI6S2, 5652867]
[paragraph, [210.0, 943.0, 1154.0, 36.0], shoonya_4sM7KB7FIXI6S2, 5652867]
[paragraph, [213.0, 1020.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1056.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1092.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1128.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1164.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1200.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1236.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1272.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1308.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1344.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1380.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1416.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1452.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1488.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1524.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1560.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1596.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1632.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1668.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1704.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1740.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1776.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [213.0, 1812.0, 1141.0, 36.0], shoonya_0sHSMGVKL1OVZG, 5652867]
[paragraph, [216.0, 1876.0, 1141.0, 36.0], shoonya_3sL62TBFG1C0YT, 5652867]
[paragraph, [216.0, 1912.0, 1141.0, 36.0], shoonya_3sL62TBFG1C0YT, 5652867]
[paragraph, [216.0, 1948.0, 1141.0, 36.0], shoonya_3sL62TBFG1C0YT, 5652867]
[paragraph, [216.0, 1984.0, 1141.0, 36.0], shoonya_3sL62TBFG1C0YT, 5652867]
[folio, [1132.0, 2094.0, 140.0, 36.0], 98AfFPl1S-, 5652867]
