[680, 510]
[folio, [55.0, 25.0, 124.0, 18.0], shoonya_5sKVI4TPT9GBLC, 5761610]
[paragraph, [36.0, 56.0, 217.0, 18.0], shoonya_1s9AB1014SPDGL, 5761610]
[paragraph, [36.0, 74.0, 217.0, 18.0], shoonya_1s9AB1014SPDGL, 5761610]
[paragraph, [36.0, 92.0, 217.0, 18.0], shoonya_1s9AB1014SPDGL, 5761610]
[paragraph, [256.0, 58.0, 217.0, 18.0], dl9_iAbwOh, 5761610]
[paragraph, [256.0, 76.0, 217.0, 18.0], dl9_iAbwOh, 5761610]
[paragraph, [256.0, 94.0, 217.0, 18.0], dl9_iAbwOh, 5761610]
[paragraph, [256.0, 116.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 134.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 152.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 170.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 188.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 206.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 224.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 242.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 260.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 278.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [256.0, 296.0, 219.0, 18.0], 2rvejg-wiF, 5761610]
[paragraph, [37.0, 117.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 135.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 153.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 171.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 189.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 207.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 225.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 243.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 261.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 279.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 297.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 315.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 333.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 351.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 369.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 387.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 405.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 423.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [37.0, 441.0, 217.0, 18.0], shoonya_2sZTSG4XT4S68E, 5761610]
[paragraph, [256.0, 317.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 335.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 353.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 371.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 389.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 407.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 425.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 443.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [256.0, 461.0, 217.0, 18.0], P52bsZLDFJ, 5761610]
[paragraph, [36.0, 472.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 490.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 508.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 526.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 544.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 562.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 580.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 598.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [36.0, 616.0, 218.0, 18.0], NEW7cDNoh7, 5761610]
[paragraph, [256.0, 513.0, 217.0, 18.0], BzynwnSnVo, 5761610]
[paragraph, [256.0, 531.0, 217.0, 18.0], BzynwnSnVo, 5761610]
[paragraph, [256.0, 549.0, 217.0, 18.0], BzynwnSnVo, 5761610]
[paragraph, [256.0, 567.0, 217.0, 18.0], BzynwnSnVo, 5761610]
[paragraph, [256.0, 585.0, 217.0, 18.0], BzynwnSnVo, 5761610]
[paragraph, [256.0, 603.0, 217.0, 18.0], BzynwnSnVo, 5761610]
