[842, 596]
[paragraph, [66.0, 71.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 89.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 107.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 125.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 143.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 161.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 179.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 197.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 215.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 233.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 251.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 269.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 287.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 305.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 323.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 341.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 359.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 377.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 395.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 413.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 431.0, 475.0, 18.0], shoonya_0sYVBUUC8NFH5H, 5746483]
[paragraph, [66.0, 460.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 478.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 496.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 514.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 532.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 550.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 568.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 586.0, 472.0, 18.0], shoonya_1sTP507AYB1BBJ, 5746483]
[paragraph, [66.0, 634.0, 472.0, 18.0], shoonya_2s3KJQT13PYYLL, 5746483]
[paragraph, [66.0, 652.0, 472.0, 18.0], shoonya_2s3KJQT13PYYLL, 5746483]
[paragraph, [66.0, 670.0, 472.0, 18.0], shoonya_2s3KJQT13PYYLL, 5746483]
[paragraph, [66.0, 715.0, 472.0, 18.0], shoonya_3sFVACNIOMQR9Z, 5746483]
[paragraph, [66.0, 733.0, 472.0, 18.0], shoonya_3sFVACNIOMQR9Z, 5746483]
