[1492, 1000]
[folio, [418.0, 155.0, 202.0, 18.0], shoonya_1sCKDZ3M4J98V3, 5720352]
[paragraph, [158.0, 207.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 225.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 243.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 261.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 279.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 297.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 315.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 333.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 351.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 369.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 387.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 405.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 423.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 441.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 459.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 477.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 495.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 513.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 531.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 549.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 567.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 585.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 603.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 621.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 639.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 657.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 675.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 693.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 711.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [158.0, 729.0, 724.0, 18.0], shoonya_0sE8OT187CZROX, 5720352]
[paragraph, [157.0, 760.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 778.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 796.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 814.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 832.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 850.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 868.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 886.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 904.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 922.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 940.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 958.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 976.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 994.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1012.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1030.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1048.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1066.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1084.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1102.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1120.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1138.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1156.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1174.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1192.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1210.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1228.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1246.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1264.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1282.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
[paragraph, [157.0, 1300.0, 732.0, 18.0], mDT9IxlUAO, 5720352]
