[595, 397]
[paragraph, [40.0, 47.0, 315.0, 18.0], shoonya_0s3KA7E8NHJIGD, 6515363]
[paragraph, [40.0, 65.0, 315.0, 18.0], shoonya_0s3KA7E8NHJIGD, 6515363]
[paragraph, [40.0, 83.0, 315.0, 18.0], shoonya_0s3KA7E8NHJIGD, 6515363]
[paragraph, [40.0, 101.0, 315.0, 18.0], shoonya_0s3KA7E8NHJIGD, 6515363]
[paragraph, [40.0, 119.0, 315.0, 18.0], shoonya_0s3KA7E8NHJIGD, 6515363]
[paragraph, [40.0, 137.0, 315.0, 18.0], shoonya_0s3KA7E8NHJIGD, 6515363]
[paragraph, [40.0, 155.0, 315.0, 18.0], shoonya_0s3KA7E8NHJIGD, 6515363]
[paragraph, [39.0, 178.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 196.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 214.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 232.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 250.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 268.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 286.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 304.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 322.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [39.0, 340.0, 317.0, 18.0], shoonya_1sY5S7TLJUC3EK, 6515363]
[paragraph, [44.0, 362.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 380.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 398.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 416.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 434.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 452.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 470.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 488.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 506.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
[paragraph, [44.0, 524.0, 310.0, 18.0], shoonya_2s9JJPCC664T90, 6515363]
