[2339, 1653]
[paragraph, [327.0, 163.0, 1134.0, 36.0], shoonya_2sJFL07XW1XPI6, 5734226]
[paragraph, [327.0, 199.0, 1134.0, 36.0], shoonya_2sJFL07XW1XPI6, 5734226]
[paragraph, [327.0, 235.0, 1134.0, 36.0], shoonya_2sJFL07XW1XPI6, 5734226]
[paragraph, [327.0, 271.0, 1134.0, 36.0], shoonya_2sJFL07XW1XPI6, 5734226]
[paragraph, [327.0, 307.0, 1134.0, 36.0], shoonya_2sJFL07XW1XPI6, 5734226]
[paragraph, [327.0, 343.0, 1134.0, 36.0], shoonya_2sJFL07XW1XPI6, 5734226]
[paragraph, [327.0, 387.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 423.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 459.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 495.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 531.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 567.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 603.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 639.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 675.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 711.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 747.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 783.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 819.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 855.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 891.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 927.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 963.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 999.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 1035.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 1071.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 1107.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [327.0, 1143.0, 1133.0, 36.0], shoonya_1sOZOLYYFUR3G6, 5734226]
[paragraph, [325.0, 1225.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1261.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1297.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1333.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1369.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1405.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1441.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1477.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1513.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1549.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1585.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1621.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1657.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1693.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1729.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1765.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1801.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1837.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1873.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1909.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1945.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 1981.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 2017.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[paragraph, [325.0, 2053.0, 1134.0, 36.0], shoonya_0s2MVVYJRE6GVF, 5734226]
[folio, [1110.0, 2153.0, 291.0, 36.0], A30ZW_NvWG, 5734226]
