[679, 512]
[section-title, [121.0, 43.0, 261.0, 30.0], M2mAEsKWys, 6496061]
[ordered-list, [77.0, 90.0, 377.0, 18.0], -oLxe48may, 6496061]
[ordered-list, [77.0, 108.0, 377.0, 18.0], -oLxe48may, 6496061]
[ordered-list, [77.0, 126.0, 377.0, 18.0], -oLxe48may, 6496061]
[ordered-list, [77.0, 144.0, 377.0, 18.0], -oLxe48may, 6496061]
[ordered-list, [77.0, 162.0, 377.0, 18.0], -oLxe48may, 6496061]
[paragraph, [75.0, 184.0, 251.0, 18.0], ahrGWzdKoc, 6496061]
[paragraph, [42.0, 205.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 223.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 241.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 259.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 277.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 295.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 313.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 331.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 349.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 367.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 385.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 403.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 421.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 439.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [42.0, 457.0, 409.0, 18.0], shoonya_0sFHALANRCUAE9, 6496061]
[paragraph, [45.0, 493.0, 407.0, 18.0], Dt8HmgX17R, 6496061]
[paragraph, [45.0, 511.0, 407.0, 18.0], Dt8HmgX17R, 6496061]
[paragraph, [45.0, 529.0, 407.0, 18.0], Dt8HmgX17R, 6496061]
[paragraph, [45.0, 547.0, 407.0, 18.0], Dt8HmgX17R, 6496061]
[paragraph, [45.0, 565.0, 407.0, 18.0], Dt8HmgX17R, 6496061]
[paragraph, [45.0, 583.0, 407.0, 18.0], Dt8HmgX17R, 6496061]
[folio, [150.0, 612.0, 168.0, 18.0], NGxLa4UCiR, 6496061]
