[1795, 1184]
[paragraph, [154.0, 151.0, 873.0, 36.0], shoonya_4sLVYNILZZIJCS, 5749308]
[paragraph, [154.0, 187.0, 873.0, 36.0], shoonya_4sLVYNILZZIJCS, 5749308]
[paragraph, [154.0, 223.0, 873.0, 36.0], shoonya_4sLVYNILZZIJCS, 5749308]
[paragraph, [150.0, 302.0, 877.0, 36.0], _phgPOa0nn, 5749308]
[paragraph, [150.0, 338.0, 877.0, 36.0], _phgPOa0nn, 5749308]
[paragraph, [150.0, 374.0, 877.0, 36.0], _phgPOa0nn, 5749308]
[paragraph, [150.0, 410.0, 877.0, 36.0], _phgPOa0nn, 5749308]
[paragraph, [150.0, 446.0, 877.0, 36.0], _phgPOa0nn, 5749308]
[paragraph, [152.0, 497.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 533.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 569.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 605.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 641.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 677.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 713.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 749.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 785.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 821.0, 878.0, 36.0], shoonya_0sS5U4I9S09S9Y, 5749308]
[paragraph, [152.0, 884.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 920.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 956.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 992.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1028.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1064.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1100.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1136.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1172.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1208.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1244.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [152.0, 1280.0, 876.0, 36.0], shoonya_1s9AHLSIJTM5F9, 5749308]
[paragraph, [151.0, 1410.0, 878.0, 36.0], shoonya_3sI0QQARH62AAX, 5749308]
[paragraph, [151.0, 1446.0, 878.0, 36.0], shoonya_3sI0QQARH62AAX, 5749308]
[paragraph, [151.0, 1482.0, 878.0, 36.0], shoonya_3sI0QQARH62AAX, 5749308]
[paragraph, [151.0, 1518.0, 878.0, 36.0], shoonya_3sI0QQARH62AAX, 5749308]
