[1823, 1375]
[folio, [538.0, 112.0, 295.0, 36.0], shoonya_1s1NUPL6IHYBU1, 5684161]
[paragraph, [102.0, 171.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 207.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 243.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 279.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 315.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 351.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 387.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 423.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 459.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 495.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 531.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 567.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 603.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 639.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 675.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [102.0, 711.0, 575.0, 36.0], shoonya_4sLETJRX686E6D, 5684161]
[paragraph, [695.0, 173.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
[paragraph, [695.0, 209.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
[paragraph, [695.0, 245.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
[paragraph, [695.0, 281.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
[paragraph, [695.0, 317.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
[paragraph, [695.0, 353.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
[paragraph, [695.0, 389.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
[paragraph, [695.0, 425.0, 572.0, 36.0], shoonya_7s6D0E4IS5SB2K, 5684161]
