[1307, 898]
[chapter-title, [359.0, 66.0, 273.0, 30.0], shoonya_0sR4JGEXAOMTUW, 5776138]
[paragraph, [179.0, 108.0, 654.0, 18.0], czRMTEJxke, 5776138]
[paragraph, [179.0, 126.0, 654.0, 18.0], czRMTEJxke, 5776138]
[paragraph, [179.0, 161.0, 651.0, 18.0], Cc3Fa8ydjI, 5776138]
[paragraph, [179.0, 179.0, 651.0, 18.0], Cc3Fa8ydjI, 5776138]
[paragraph, [179.0, 197.0, 651.0, 18.0], Cc3Fa8ydjI, 5776138]
[paragraph, [179.0, 212.0, 479.0, 18.0], Kw1oK-4LE6, 5776138]
[paragraph, [177.0, 240.0, 656.0, 18.0], hAotsjnupI, 5776138]
[paragraph, [177.0, 258.0, 656.0, 18.0], hAotsjnupI, 5776138]
[paragraph, [177.0, 276.0, 656.0, 18.0], hAotsjnupI, 5776138]
[paragraph, [177.0, 294.0, 656.0, 18.0], hAotsjnupI, 5776138]
[paragraph, [178.0, 312.0, 656.0, 18.0], dUESvuSYz4, 5776138]
[paragraph, [178.0, 330.0, 656.0, 18.0], dUESvuSYz4, 5776138]
[paragraph, [179.0, 363.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [179.0, 381.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [179.0, 399.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [179.0, 417.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [179.0, 435.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [179.0, 453.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [179.0, 471.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [179.0, 489.0, 658.0, 18.0], 0UJHUW2foo, 5776138]
[paragraph, [177.0, 518.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 536.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 554.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 572.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 590.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 608.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 626.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 644.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 662.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 680.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 698.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 716.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 734.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 752.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 770.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [177.0, 788.0, 657.0, 18.0], DK3HBUPNN9, 5776138]
[paragraph, [174.0, 818.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 836.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 854.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 872.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 890.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 908.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 926.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 944.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 962.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 980.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 998.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 1016.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 1034.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 1052.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 1070.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
[paragraph, [174.0, 1088.0, 658.0, 18.0], IzwGnHDnLn, 5776138]
