[1566, 1152]
[paragraph, [724.0, 132.0, 294.0, 36.0], shoonya_5s6BZHDXRWMULR, 5713129]
[paragraph, [724.0, 168.0, 294.0, 36.0], shoonya_5s6BZHDXRWMULR, 5713129]
[paragraph, [724.0, 204.0, 294.0, 36.0], shoonya_5s6BZHDXRWMULR, 5713129]
[paragraph, [724.0, 240.0, 294.0, 36.0], shoonya_5s6BZHDXRWMULR, 5713129]
[paragraph, [728.0, 310.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 346.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 382.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 418.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 454.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 490.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 526.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 562.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 598.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [728.0, 634.0, 295.0, 36.0], shoonya_1s2ZFZD3B3AD36, 5713129]
[paragraph, [114.0, 575.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 611.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 647.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 683.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 719.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 755.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 791.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 827.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [114.0, 863.0, 299.0, 36.0], shoonya_4s0BQJKL7SPVOK, 5713129]
[paragraph, [422.0, 581.0, 305.0, 36.0], shoonya_6sX0TU9MNIBYYY, 5713129]
[paragraph, [422.0, 617.0, 305.0, 36.0], shoonya_6sX0TU9MNIBYYY, 5713129]
[paragraph, [422.0, 653.0, 305.0, 36.0], shoonya_6sX0TU9MNIBYYY, 5713129]
[paragraph, [414.0, 703.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 739.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 775.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 811.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 847.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 883.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 919.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 955.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 991.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 1027.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 1063.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 1099.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 1135.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 1171.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [414.0, 1207.0, 312.0, 36.0], shoonya_2sOFX3O1V1WUQX, 5713129]
[paragraph, [733.0, 707.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [733.0, 743.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [733.0, 779.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [733.0, 815.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [733.0, 851.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [733.0, 887.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [733.0, 923.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [733.0, 959.0, 275.0, 36.0], shoonya_8sU2M7T7H4KI67, 5713129]
[paragraph, [117.0, 935.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 971.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1007.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1043.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1079.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1115.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1151.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1187.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1223.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1259.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1295.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [117.0, 1331.0, 298.0, 36.0], shoonya_3sXXVH05YCPAX1, 5713129]
[paragraph, [731.0, 996.0, 298.0, 36.0], shoonya_12sGRFPPLICB59, 5713129]
[paragraph, [731.0, 1032.0, 298.0, 36.0], shoonya_12sGRFPPLICB59, 5713129]
[paragraph, [731.0, 1068.0, 298.0, 36.0], shoonya_12sGRFPPLICB59, 5713129]
[paragraph, [731.0, 1104.0, 298.0, 36.0], shoonya_12sGRFPPLICB59, 5713129]
[paragraph, [731.0, 1140.0, 298.0, 36.0], shoonya_12sGRFPPLICB59, 5713129]
[paragraph, [731.0, 1176.0, 298.0, 36.0], shoonya_12sGRFPPLICB59, 5713129]
[paragraph, [731.0, 1212.0, 298.0, 36.0], shoonya_12sGRFPPLICB59, 5713129]
[paragraph, [419.0, 1258.0, 308.0, 36.0], shoonya_7sZAW5U24TM31T, 5713129]
[paragraph, [419.0, 1294.0, 308.0, 36.0], shoonya_7sZAW5U24TM31T, 5713129]
[paragraph, [419.0, 1330.0, 308.0, 36.0], shoonya_7sZAW5U24TM31T, 5713129]
[paragraph, [731.0, 1271.0, 297.0, 36.0], shoonya_11sVB382K9DPVW, 5713129]
[paragraph, [731.0, 1307.0, 297.0, 36.0], shoonya_11sVB382K9DPVW, 5713129]
[folio, [887.0, 1451.0, 142.0, 36.0], qI0Twno8nK, 5713129]
