[1806, 1262]
[folio, [143.0, 99.0, 505.0, 36.0], shoonya_2sLSPF7YCQ7WNE, 5681536]
[paragraph, [640.0, 174.0, 509.0, 36.0], shoonya_0sP5MRQWDK5JAK, 5681536]
[paragraph, [640.0, 210.0, 509.0, 36.0], shoonya_0sP5MRQWDK5JAK, 5681536]
[paragraph, [640.0, 246.0, 509.0, 36.0], shoonya_0sP5MRQWDK5JAK, 5681536]
[paragraph, [640.0, 282.0, 509.0, 36.0], shoonya_0sP5MRQWDK5JAK, 5681536]
[paragraph, [640.0, 318.0, 509.0, 36.0], shoonya_0sP5MRQWDK5JAK, 5681536]
[paragraph, [640.0, 354.0, 509.0, 36.0], shoonya_0sP5MRQWDK5JAK, 5681536]
[paragraph, [640.0, 390.0, 509.0, 36.0], shoonya_0sP5MRQWDK5JAK, 5681536]
[paragraph, [87.0, 234.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 270.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 306.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 342.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 378.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 414.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 450.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 486.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 522.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 558.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 594.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
[paragraph, [87.0, 630.0, 522.0, 36.0], shoonya_3sX5CI48FZOE5A, 5681536]
