[842, 595]
[chapter-title, [0.0, 284.0, 185.0, 30.0], shoonya_10s95X2S45KMIJ, 5743018]
[chapter-title, [0.0, 314.0, 185.0, 30.0], shoonya_10s95X2S45KMIJ, 5743018]
[chapter-title, [0.0, 344.0, 185.0, 30.0], shoonya_10s95X2S45KMIJ, 5743018]
[paragraph, [54.0, 562.0, 241.0, 18.0], shoonya_3s6MWL1OS9YPT7, 5743018]
[paragraph, [54.0, 580.0, 241.0, 18.0], shoonya_3s6MWL1OS9YPT7, 5743018]
[paragraph, [301.0, 563.0, 241.0, 18.0], shoonya_5s9FL9420URV5V, 5743018]
[paragraph, [301.0, 592.0, 242.0, 18.0], shoonya_6sMEPZGATUIH4Y, 5743018]
[paragraph, [53.0, 607.0, 241.0, 18.0], shoonya_1sK6BUZFSPF2J8, 5743018]
[paragraph, [53.0, 625.0, 241.0, 18.0], shoonya_1sK6BUZFSPF2J8, 5743018]
[paragraph, [53.0, 643.0, 241.0, 18.0], shoonya_1sK6BUZFSPF2J8, 5743018]
[paragraph, [301.0, 621.0, 242.0, 18.0], shoonya_2sDW0HXN4DVVUX, 5743018]
[paragraph, [301.0, 639.0, 242.0, 18.0], shoonya_2sDW0HXN4DVVUX, 5743018]
[paragraph, [301.0, 657.0, 242.0, 18.0], shoonya_2sDW0HXN4DVVUX, 5743018]
[paragraph, [301.0, 675.0, 242.0, 18.0], shoonya_2sDW0HXN4DVVUX, 5743018]
[paragraph, [301.0, 693.0, 242.0, 18.0], shoonya_2sDW0HXN4DVVUX, 5743018]
[paragraph, [301.0, 711.0, 242.0, 18.0], shoonya_2sDW0HXN4DVVUX, 5743018]
[paragraph, [54.0, 678.0, 242.0, 18.0], shoonya_0sSSEWTGQ0MDZD, 5743018]
[paragraph, [54.0, 696.0, 242.0, 18.0], shoonya_0sSSEWTGQ0MDZD, 5743018]
[paragraph, [54.0, 714.0, 242.0, 18.0], shoonya_0sSSEWTGQ0MDZD, 5743018]
[folio, [472.0, 743.0, 68.0, 18.0], shoonya_8sCGN8916L9502, 5743018]
