[1736, 1323]
[headline, [122.0, 169.0, 680.0, 37.5], shoonya_9sB2VEKREJF1KW, 5772012]
[headline, [122.0, 206.5, 680.0, 37.5], shoonya_9sB2VEKREJF1KW, 5772012]
[headline, [122.0, 244.0, 680.0, 37.5], shoonya_9sB2VEKREJF1KW, 5772012]
[headline, [122.0, 281.5, 680.0, 37.5], shoonya_9sB2VEKREJF1KW, 5772012]
[headline, [122.0, 319.0, 680.0, 37.5], shoonya_9sB2VEKREJF1KW, 5772012]
[headline, [122.0, 356.5, 680.0, 37.5], shoonya_9sB2VEKREJF1KW, 5772012]
[paragraph, [119.0, 425.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 461.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 497.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 533.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 569.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 605.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 641.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 677.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 713.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [119.0, 749.0, 541.0, 36.0], shoonya_0sVL9AOIEAM1U4, 5772012]
[paragraph, [666.0, 738.0, 542.0, 36.0], shoonya_8s5V2JBM7Y5UWB, 5772012]
[paragraph, [666.0, 774.0, 542.0, 36.0], shoonya_8s5V2JBM7Y5UWB, 5772012]
[paragraph, [666.0, 810.0, 542.0, 36.0], shoonya_8s5V2JBM7Y5UWB, 5772012]
[paragraph, [666.0, 846.0, 542.0, 36.0], shoonya_8s5V2JBM7Y5UWB, 5772012]
[paragraph, [117.0, 829.0, 540.0, 36.0], shoonya_5sYAYE7J6RMB3H, 5772012]
[paragraph, [117.0, 865.0, 540.0, 36.0], shoonya_5sYAYE7J6RMB3H, 5772012]
[paragraph, [117.0, 901.0, 540.0, 36.0], shoonya_5sYAYE7J6RMB3H, 5772012]
[paragraph, [117.0, 937.0, 540.0, 36.0], shoonya_5sYAYE7J6RMB3H, 5772012]
[paragraph, [117.0, 973.0, 540.0, 36.0], shoonya_5sYAYE7J6RMB3H, 5772012]
[paragraph, [669.0, 895.0, 538.0, 36.0], shoonya_15sLHPOIUMYSXZ, 5772012]
[paragraph, [668.0, 958.0, 542.0, 36.0], shoonya_3sEU9Y6T3JALO8, 5772012]
[paragraph, [668.0, 994.0, 542.0, 36.0], shoonya_3sEU9Y6T3JALO8, 5772012]
[paragraph, [668.0, 1030.0, 542.0, 36.0], shoonya_3sEU9Y6T3JALO8, 5772012]
[paragraph, [128.0, 1018.0, 526.0, 36.0], shoonya_2sSQB51TDNCYE4, 5772012]
[paragraph, [128.0, 1054.0, 526.0, 36.0], shoonya_2sSQB51TDNCYE4, 5772012]
[paragraph, [128.0, 1090.0, 526.0, 36.0], shoonya_2sSQB51TDNCYE4, 5772012]
[paragraph, [128.0, 1126.0, 526.0, 36.0], shoonya_2sSQB51TDNCYE4, 5772012]
[paragraph, [668.0, 1083.0, 538.0, 36.0], shoonya_6s2UVBJBFKUV0B, 5772012]
[paragraph, [668.0, 1119.0, 538.0, 36.0], shoonya_6s2UVBJBFKUV0B, 5772012]
[paragraph, [668.0, 1155.0, 538.0, 36.0], shoonya_6s2UVBJBFKUV0B, 5772012]
[paragraph, [668.0, 1191.0, 538.0, 36.0], shoonya_6s2UVBJBFKUV0B, 5772012]
[paragraph, [668.0, 1227.0, 538.0, 36.0], shoonya_6s2UVBJBFKUV0B, 5772012]
[paragraph, [119.0, 1203.0, 537.0, 36.0], shoonya_10s7F119HRTEGG, 5772012]
[paragraph, [119.0, 1239.0, 537.0, 36.0], shoonya_10s7F119HRTEGG, 5772012]
[paragraph, [119.0, 1275.0, 537.0, 36.0], shoonya_10s7F119HRTEGG, 5772012]
[paragraph, [119.0, 1311.0, 537.0, 36.0], shoonya_10s7F119HRTEGG, 5772012]
[paragraph, [665.0, 1270.0, 543.0, 36.0], shoonya_4sS3P65YOGDUOV, 5772012]
[paragraph, [665.0, 1306.0, 543.0, 36.0], shoonya_4sS3P65YOGDUOV, 5772012]
[paragraph, [665.0, 1342.0, 543.0, 36.0], shoonya_4sS3P65YOGDUOV, 5772012]
[paragraph, [119.0, 1362.0, 534.0, 36.0], shoonya_1sEQO6BHJW4HYG, 5772012]
[paragraph, [119.0, 1398.0, 534.0, 36.0], shoonya_1sEQO6BHJW4HYG, 5772012]
[paragraph, [119.0, 1434.0, 534.0, 36.0], shoonya_1sEQO6BHJW4HYG, 5772012]
[paragraph, [667.0, 1393.0, 533.0, 36.0], shoonya_14sUA9XAY0UIAL, 5772012]
[paragraph, [667.0, 1429.0, 533.0, 36.0], shoonya_14sUA9XAY0UIAL, 5772012]
[paragraph, [835.0, 1488.0, 364.0, 36.0], shoonya_12s8421B6B82YA, 5772012]
[paragraph, [117.0, 1491.0, 415.0, 36.0], B3lD5VMkO0, 5772012]
[folio, [593.0, 1575.0, 140.0, 36.0], shoonya_18sG4DM02VC13B, 5772012]
[folio, [76.0, 1691.0, 173.0, 36.0], aiQKH_X-sd, 5772012]
