[1545, 2000]
[headline, [38.0, 412.0, 513.0, 37.5], nVnjNmhevn, 6491281]
[headline, [38.0, 449.5, 513.0, 37.5], nVnjNmhevn, 6491281]
[headline, [38.0, 487.0, 513.0, 37.5], nVnjNmhevn, 6491281]
[headline, [38.0, 524.5, 513.0, 37.5], nVnjNmhevn, 6491281]
[headline, [699.0, 542.0, 615.0, 37.5], ypsklGjFIx, 6491281]
[headline, [699.0, 579.5, 615.0, 37.5], ypsklGjFIx, 6491281]
[paragraph, [40.0, 603.0, 597.0, 36.0], z9R5pkyKDM, 6491281]
[paragraph, [40.0, 639.0, 597.0, 36.0], z9R5pkyKDM, 6491281]
[paragraph, [40.0, 675.0, 597.0, 36.0], z9R5pkyKDM, 6491281]
[sub-section-title, [709.0, 633.0, 575.0, 36.0], KsKbhksMSL, 6491281]
[sub-section-title, [709.0, 669.0, 575.0, 36.0], KsKbhksMSL, 6491281]
[paragraph, [704.0, 735.0, 592.0, 36.0], rtCFo1jrbY, 6491281]
[paragraph, [704.0, 771.0, 592.0, 36.0], rtCFo1jrbY, 6491281]
[paragraph, [704.0, 807.0, 592.0, 36.0], rtCFo1jrbY, 6491281]
[paragraph, [704.0, 843.0, 592.0, 36.0], rtCFo1jrbY, 6491281]
[paragraph, [704.0, 879.0, 592.0, 36.0], rtCFo1jrbY, 6491281]
[section-title, [104.0, 789.0, 241.0, 49.5], ipnGDYAtld, 6491281]
[folio, [1379.0, 806.0, 305.0, 36.0], 2hOmoOv6Nu, 6491281]
[paragraph, [106.0, 857.0, 480.0, 36.0], FD8WUGWEJB, 6491281]
[paragraph, [106.0, 893.0, 480.0, 36.0], FD8WUGWEJB, 6491281]
[paragraph, [106.0, 929.0, 480.0, 36.0], FD8WUGWEJB, 6491281]
[paragraph, [106.0, 965.0, 480.0, 36.0], FD8WUGWEJB, 6491281]
[headline, [1374.0, 916.0, 404.0, 37.5], Y2v1GT2giK, 6491281]
[headline, [1374.0, 953.5, 404.0, 37.5], Y2v1GT2giK, 6491281]
[headline, [1374.0, 991.0, 404.0, 37.5], Y2v1GT2giK, 6491281]
[headline, [1374.0, 1028.5, 404.0, 37.5], Y2v1GT2giK, 6491281]
[headline, [1374.0, 1066.0, 404.0, 37.5], Y2v1GT2giK, 6491281]
[contact-info, [702.0, 977.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1013.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1049.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1085.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1121.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1157.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1193.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1229.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1265.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1301.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1337.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[contact-info, [702.0, 1373.0, 549.0, 36.0], pA8dG7jDsh, 6491281]
[paragraph, [1376.0, 1117.0, 572.0, 36.0], TarsX_X68H, 6491281]
[paragraph, [1376.0, 1153.0, 572.0, 36.0], TarsX_X68H, 6491281]
[section-title, [111.0, 1127.0, 246.0, 49.5], dZt1ZxNX4m, 6491281]
[paragraph, [101.0, 1209.0, 480.0, 36.0], NFJOdPQhhB, 6491281]
[paragraph, [101.0, 1245.0, 480.0, 36.0], NFJOdPQhhB, 6491281]
[paragraph, [101.0, 1281.0, 480.0, 36.0], NFJOdPQhhB, 6491281]
[paragraph, [101.0, 1317.0, 480.0, 36.0], NFJOdPQhhB, 6491281]
[paragraph, [1374.0, 1216.0, 587.0, 36.0], JJRxXkg8l4, 6491281]
[paragraph, [1374.0, 1252.0, 587.0, 36.0], JJRxXkg8l4, 6491281]
[paragraph, [1374.0, 1288.0, 587.0, 36.0], JJRxXkg8l4, 6491281]
