[842, 596]
[sub-section-title, [118.0, 152.0, 364.0, 25.5], dR2HVR3Kow, 5745180]
[section-title, [217.0, 217.0, 164.0, 30.0], aSP9RY3Rlk, 5745180]
[unordered-list, [47.0, 273.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 291.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 309.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 327.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 345.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 363.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 381.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 399.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 417.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 435.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 453.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 471.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 489.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 507.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 525.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 543.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 561.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 579.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 597.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 615.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 633.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 651.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 669.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 687.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 705.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 723.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 741.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 759.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
[unordered-list, [47.0, 777.0, 502.0, 18.0], shoonya_0s8VNET6QS7245, 5745180]
