[1755, 1240]
[paragraph, [225.0, 218.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 254.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 290.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 326.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 362.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 398.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 434.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 470.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 506.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 542.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 578.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 614.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 650.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 686.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 722.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 758.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 794.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 830.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 866.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 902.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [225.0, 938.0, 793.0, 36.0], shoonya_0sP0GGU82XPIIM, 5743934]
[paragraph, [226.0, 990.0, 787.0, 36.0], 9dxbfeketX, 5743934]
[paragraph, [226.0, 1026.0, 787.0, 36.0], 9dxbfeketX, 5743934]
[paragraph, [226.0, 1062.0, 787.0, 36.0], 9dxbfeketX, 5743934]
[paragraph, [226.0, 1098.0, 787.0, 36.0], 9dxbfeketX, 5743934]
[paragraph, [264.0, 1138.0, 183.0, 36.0], kiKq26qMPd, 5743934]
[paragraph, [265.0, 1187.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[paragraph, [265.0, 1223.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[paragraph, [265.0, 1259.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[paragraph, [265.0, 1295.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[paragraph, [265.0, 1331.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[paragraph, [265.0, 1367.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[paragraph, [265.0, 1403.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[paragraph, [265.0, 1439.0, 590.0, 36.0], Kzg4DPj0SG, 5743934]
[folio, [314.0, 1496.0, 537.0, 36.0], TpDY5zegJB, 5743934]
