[595, 419]
[chapter-title, [155.0, 35.0, 106.0, 30.0], shoonya_2sILTI76SDZ7V1, 6459374]
[paragraph, [49.0, 94.0, 321.0, 18.0], shoonya_0s9YLMT21JTWM5, 6459374]
[paragraph, [44.0, 115.0, 334.0, 18.0], EwBiq0CPsm, 6459374]
[paragraph, [44.0, 133.0, 334.0, 18.0], EwBiq0CPsm, 6459374]
[paragraph, [39.0, 164.0, 342.0, 18.0], 3c2BTqXgjk, 6459374]
[paragraph, [39.0, 182.0, 342.0, 18.0], 3c2BTqXgjk, 6459374]
[paragraph, [42.0, 211.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 229.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 247.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 265.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 283.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 301.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 319.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 337.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 355.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 373.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 391.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [42.0, 409.0, 341.0, 18.0], LViDPoMBW-, 6459374]
[paragraph, [37.0, 437.0, 346.0, 18.0], 4gqwoSgnhv, 6459374]
[paragraph, [37.0, 455.0, 346.0, 18.0], 4gqwoSgnhv, 6459374]
[paragraph, [39.0, 481.0, 340.0, 18.0], wm4yk9PCEe, 6459374]
[paragraph, [39.0, 499.0, 340.0, 18.0], wm4yk9PCEe, 6459374]
[paragraph, [39.0, 517.0, 340.0, 18.0], wm4yk9PCEe, 6459374]
[paragraph, [39.0, 535.0, 340.0, 18.0], wm4yk9PCEe, 6459374]
