[1300, 900]
[folio, [325.0, 34.0, 251.0, 18.0], shoonya_5s2SVTT9B0RCJ9, 5731092]
[paragraph, [212.0, 98.0, 450.0, 18.0], qQZ75qMtDY, 5731092]
[paragraph, [212.0, 116.0, 450.0, 18.0], qQZ75qMtDY, 5731092]
[paragraph, [212.0, 134.0, 450.0, 18.0], qQZ75qMtDY, 5731092]
[paragraph, [212.0, 152.0, 450.0, 18.0], qQZ75qMtDY, 5731092]
[paragraph, [212.0, 170.0, 450.0, 18.0], qQZ75qMtDY, 5731092]
[paragraph, [604.0, 195.0, 199.0, 18.0], shoonya_6sO4H9ZEQQI0PP, 5731092]
[paragraph, [91.0, 226.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 244.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 262.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 280.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 298.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 316.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 334.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 352.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 370.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 388.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 406.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 424.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 442.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 460.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 478.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 496.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 514.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 532.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 550.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 568.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 586.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 604.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 622.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 640.0, 716.0, 18.0], shoonya_1sW2D3J4GUTKSC, 5731092]
[paragraph, [91.0, 658.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 676.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 694.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 712.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 730.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 748.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 766.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 784.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 802.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 820.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 838.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 856.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 874.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 892.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 910.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 928.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 946.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 964.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [91.0, 982.0, 717.0, 18.0], shoonya_0sWA1EB6AX072P, 5731092]
[paragraph, [213.0, 998.0, 451.0, 18.0], shoonya_8sNB43GMB2U60M, 5731092]
[paragraph, [213.0, 1016.0, 451.0, 18.0], shoonya_8sNB43GMB2U60M, 5731092]
[paragraph, [213.0, 1034.0, 451.0, 18.0], shoonya_8sNB43GMB2U60M, 5731092]
[paragraph, [213.0, 1052.0, 451.0, 18.0], shoonya_8sNB43GMB2U60M, 5731092]
[paragraph, [635.0, 1092.0, 168.0, 18.0], 5C-OWslnIl, 5731092]
[paragraph, [92.0, 1124.0, 720.0, 18.0], shoonya_4sVSH71NSEF0Z3, 5731092]
[paragraph, [92.0, 1142.0, 720.0, 18.0], shoonya_4sVSH71NSEF0Z3, 5731092]
[paragraph, [92.0, 1160.0, 720.0, 18.0], shoonya_4sVSH71NSEF0Z3, 5731092]
[paragraph, [92.0, 1178.0, 720.0, 18.0], shoonya_4sVSH71NSEF0Z3, 5731092]
[paragraph, [92.0, 1196.0, 720.0, 18.0], shoonya_4sVSH71NSEF0Z3, 5731092]
[paragraph, [92.0, 1214.0, 720.0, 18.0], shoonya_4sVSH71NSEF0Z3, 5731092]
[paragraph, [92.0, 1232.0, 720.0, 18.0], shoonya_4sVSH71NSEF0Z3, 5731092]
