[1806, 1262]
[folio, [1017.0, 100.0, 105.0, 36.0], shoonya_4s1DYLCSU4A9YQ, 5681399]
[paragraph, [88.0, 176.0, 510.0, 36.0], shoonya_5sGPEDN4T1VT8V, 5681399]
[paragraph, [88.0, 212.0, 510.0, 36.0], shoonya_5sGPEDN4T1VT8V, 5681399]
[paragraph, [643.0, 177.0, 516.0, 36.0], shoonya_2s51SJXUPDPUX8, 5681399]
[paragraph, [643.0, 213.0, 516.0, 36.0], shoonya_2s51SJXUPDPUX8, 5681399]
[paragraph, [124.0, 281.0, 481.0, 36.0], bIMVKGgAnA, 5681399]
[paragraph, [124.0, 317.0, 481.0, 36.0], bIMVKGgAnA, 5681399]
[paragraph, [124.0, 353.0, 481.0, 36.0], bIMVKGgAnA, 5681399]
[paragraph, [124.0, 389.0, 481.0, 36.0], bIMVKGgAnA, 5681399]
[paragraph, [124.0, 425.0, 481.0, 36.0], bIMVKGgAnA, 5681399]
[paragraph, [643.0, 324.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 360.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 396.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 432.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 468.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 504.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 540.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 576.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 612.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 648.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 684.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 720.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 756.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 792.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 828.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 864.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 900.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 936.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 972.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1008.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1044.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1080.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1116.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1152.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1188.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1224.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1260.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1296.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [643.0, 1332.0, 528.0, 36.0], bNo6gZSf4E, 5681399]
[paragraph, [113.0, 523.0, 490.0, 36.0], BEGxsLXdSd, 5681399]
[paragraph, [113.0, 559.0, 490.0, 36.0], BEGxsLXdSd, 5681399]
[paragraph, [113.0, 595.0, 490.0, 36.0], BEGxsLXdSd, 5681399]
[paragraph, [113.0, 631.0, 490.0, 36.0], BEGxsLXdSd, 5681399]
[paragraph, [113.0, 667.0, 490.0, 36.0], BEGxsLXdSd, 5681399]
[paragraph, [113.0, 703.0, 490.0, 36.0], BEGxsLXdSd, 5681399]
[paragraph, [85.0, 768.0, 528.0, 36.0], shoonya_0s8VJOJIKF9AGN, 5681399]
[paragraph, [85.0, 804.0, 528.0, 36.0], shoonya_0s8VJOJIKF9AGN, 5681399]
[paragraph, [85.0, 840.0, 528.0, 36.0], shoonya_0s8VJOJIKF9AGN, 5681399]
[paragraph, [85.0, 876.0, 528.0, 36.0], shoonya_0s8VJOJIKF9AGN, 5681399]
[paragraph, [85.0, 912.0, 528.0, 36.0], shoonya_0s8VJOJIKF9AGN, 5681399]
