[1823, 1375]
[folio, [576.0, 109.0, 227.0, 36.0], shoonya_4sLYQ4PV9JUWGC, 5684320]
[paragraph, [99.0, 167.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 203.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 239.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 275.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 311.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 347.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 383.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 419.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 455.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 491.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 527.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 563.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 599.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 635.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 671.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 707.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 743.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 779.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 815.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 851.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 887.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [99.0, 923.0, 579.0, 36.0], shoonya_0s3WZ8ZXSYYIRN, 5684320]
[paragraph, [700.0, 167.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 203.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 239.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 275.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 311.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 347.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 383.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 419.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 455.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 491.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 527.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 563.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 599.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
[paragraph, [700.0, 635.0, 579.0, 36.0], shoonya_2s4BO29O4FN149, 5684320]
