[1034, 680]
[folio, [237.0, 67.0, 214.0, 18.0], shoonya_0sEHOZ84AYBI6G, 5739608]
[paragraph, [128.0, 128.0, 479.0, 18.0], mt0AOdVd_N, 5739608]
[paragraph, [128.0, 146.0, 479.0, 18.0], mt0AOdVd_N, 5739608]
[paragraph, [128.0, 164.0, 479.0, 18.0], mt0AOdVd_N, 5739608]
[ordered-list, [68.0, 198.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 216.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 234.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 252.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 270.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 288.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 306.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 324.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 342.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 360.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 378.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 396.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 414.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 432.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 450.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 468.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 486.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 504.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 522.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 540.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 558.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 576.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 594.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 612.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 630.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 648.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 666.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 684.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 702.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 720.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 738.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 756.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 774.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 792.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 810.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 828.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 846.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 864.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 882.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 900.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 918.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 936.0, 553.0, 18.0], 6whBBk1m49, 5739608]
[ordered-list, [68.0, 954.0, 553.0, 18.0], 6whBBk1m49, 5739608]
