[1350, 900]
[folio, [522.0, 189.0, 194.0, 18.0], wnGlTXF6L3, 5760490]
[paragraph, [212.0, 238.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 256.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 274.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 292.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 310.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 328.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 346.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 364.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 382.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[paragraph, [212.0, 400.0, 524.0, 18.0], 1AwQyccjHS, 5760490]
[section-title, [366.0, 427.0, 170.0, 30.0], VLgWQCcSWi, 5760490]
[folio, [170.0, 455.0, 565.0, 18.0], i0Mwx_WEft, 5760490]
[paragraph, [167.0, 515.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 533.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 551.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 569.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 587.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 605.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 623.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 641.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 659.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 677.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[paragraph, [167.0, 695.0, 499.0, 18.0], mCvPog-BzJ, 5760490]
[sidebar, [668.0, 518.0, 67.0, 18.0], b6Neg7wbdz, 5760490]
[sidebar, [668.0, 536.0, 67.0, 18.0], b6Neg7wbdz, 5760490]
[sidebar, [668.0, 554.0, 67.0, 18.0], b6Neg7wbdz, 5760490]
[sidebar, [668.0, 572.0, 67.0, 18.0], b6Neg7wbdz, 5760490]
[sidebar, [668.0, 590.0, 67.0, 18.0], b6Neg7wbdz, 5760490]
[sidebar, [668.0, 608.0, 67.0, 18.0], b6Neg7wbdz, 5760490]
[sidebar, [668.0, 626.0, 67.0, 18.0], b6Neg7wbdz, 5760490]
[paragraph, [168.0, 735.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 753.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 771.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 789.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 807.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 825.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 843.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 861.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 879.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 897.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 915.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 933.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 951.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 969.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 987.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1005.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1023.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1041.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1059.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1077.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1095.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1113.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
[paragraph, [168.0, 1131.0, 565.0, 18.0], shoonya_0sCEBUPKJNE8NZ, 5760490]
