[2339, 1653]
[paragraph, [119.0, 159.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 195.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 231.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 267.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 303.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 339.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 375.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 411.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 447.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 483.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 519.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 555.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 591.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 627.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 663.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 699.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 735.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 771.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 807.0, 1421.0, 36.0], shoonya_0sIS28U8IV00PX, 5751071]
[paragraph, [119.0, 877.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 913.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 949.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 985.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1021.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1057.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1093.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1129.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1165.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1201.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1237.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [119.0, 1273.0, 1413.0, 36.0], m-E-Ye0AEi, 5751071]
[paragraph, [120.0, 1388.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1424.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1460.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1496.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1532.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1568.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1604.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1640.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1676.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1712.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1748.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1784.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [120.0, 1820.0, 1422.0, 36.0], shoonya_2sWIRLEY97B0C7, 5751071]
[paragraph, [118.0, 1912.0, 1419.0, 36.0], shoonya_3sVG6UHSPK32QW, 5751071]
[paragraph, [118.0, 1948.0, 1419.0, 36.0], shoonya_3sVG6UHSPK32QW, 5751071]
[paragraph, [118.0, 1984.0, 1419.0, 36.0], shoonya_3sVG6UHSPK32QW, 5751071]
[paragraph, [118.0, 2020.0, 1419.0, 36.0], shoonya_3sVG6UHSPK32QW, 5751071]
