[1368, 936]
[chapter-title, [221.0, 78.0, 495.0, 30.0], shoonya_20sQJRYFU0VTO7, 5657193]
[section-title, [224.0, 78.0, 490.0, 30.0], shoonya_16sKRK5WL95HKU, 5657193]
[section-title, [142.0, 130.0, 668.0, 30.0], dFQw6j_UQY, 5657193]
[paragraph, [78.0, 193.0, 614.0, 18.0], shoonya_23sBHKB3Z5HWP6, 5657193]
[paragraph, [88.0, 218.0, 773.0, 18.0], shoonya_1s3DFWSX2YDL50, 5657193]
[paragraph, [88.0, 236.0, 773.0, 18.0], shoonya_1s3DFWSX2YDL50, 5657193]
[paragraph, [77.0, 257.0, 174.0, 18.0], _PijzYIKl1, 5657193]
[unordered-list, [79.0, 315.0, 647.0, 18.0], shoonya_8sH0GV66GYP2U8, 5657193]
[unordered-list, [79.0, 333.0, 647.0, 18.0], shoonya_8sH0GV66GYP2U8, 5657193]
[unordered-list, [83.0, 391.0, 670.0, 18.0], shoonya_3sS7M5SMLFXJVX, 5657193]
[unordered-list, [83.0, 409.0, 670.0, 18.0], shoonya_3sS7M5SMLFXJVX, 5657193]
[unordered-list, [83.0, 427.0, 670.0, 18.0], shoonya_3sS7M5SMLFXJVX, 5657193]
[unordered-list, [83.0, 445.0, 670.0, 18.0], shoonya_3sS7M5SMLFXJVX, 5657193]
[unordered-list, [83.0, 463.0, 670.0, 18.0], shoonya_3sS7M5SMLFXJVX, 5657193]
[unordered-list, [83.0, 481.0, 670.0, 18.0], shoonya_3sS7M5SMLFXJVX, 5657193]
[sub-unordered-list, [100.0, 430.0, 612.0, 18.0], 1kn8rtQ0UE, 5657193]
[sub-unordered-list, [100.0, 448.0, 612.0, 18.0], 1kn8rtQ0UE, 5657193]
[sub-unordered-list, [100.0, 466.0, 612.0, 18.0], 1kn8rtQ0UE, 5657193]
[unordered-list, [82.0, 538.0, 692.0, 18.0], shoonya_4sV0WFGP76AU0Q, 5657193]
[unordered-list, [82.0, 556.0, 692.0, 18.0], shoonya_4sV0WFGP76AU0Q, 5657193]
[unordered-list, [82.0, 574.0, 692.0, 18.0], shoonya_4sV0WFGP76AU0Q, 5657193]
[unordered-list, [82.0, 592.0, 692.0, 18.0], shoonya_4sV0WFGP76AU0Q, 5657193]
[unordered-list, [87.0, 649.0, 678.0, 18.0], shoonya_6s5VVIZQ09GZFX, 5657193]
[unordered-list, [87.0, 667.0, 678.0, 18.0], shoonya_6s5VVIZQ09GZFX, 5657193]
[unordered-list, [87.0, 685.0, 678.0, 18.0], shoonya_6s5VVIZQ09GZFX, 5657193]
[unordered-list, [87.0, 703.0, 678.0, 18.0], shoonya_6s5VVIZQ09GZFX, 5657193]
[unordered-list, [87.0, 721.0, 678.0, 18.0], shoonya_6s5VVIZQ09GZFX, 5657193]
[unordered-list, [87.0, 739.0, 678.0, 18.0], shoonya_6s5VVIZQ09GZFX, 5657193]
[unordered-list, [85.0, 792.0, 613.0, 18.0], shoonya_22sBFITLW9JU4L, 5657193]
[unordered-list, [85.0, 810.0, 613.0, 18.0], shoonya_22sBFITLW9JU4L, 5657193]
[unordered-list, [85.0, 828.0, 613.0, 18.0], shoonya_22sBFITLW9JU4L, 5657193]
[unordered-list, [70.0, 881.0, 702.0, 18.0], UXU74MB2gS, 5657193]
[unordered-list, [70.0, 899.0, 702.0, 18.0], UXU74MB2gS, 5657193]
[unordered-list, [70.0, 917.0, 702.0, 18.0], UXU74MB2gS, 5657193]
[unordered-list, [70.0, 935.0, 702.0, 18.0], UXU74MB2gS, 5657193]
[unordered-list, [68.0, 992.0, 673.0, 18.0], FKlAZBnRCg, 5657193]
[unordered-list, [68.0, 1010.0, 673.0, 18.0], FKlAZBnRCg, 5657193]
[unordered-list, [67.0, 1058.0, 712.0, 18.0], Wkm7E0kHrU, 5657193]
[unordered-list, [67.0, 1076.0, 712.0, 18.0], Wkm7E0kHrU, 5657193]
[unordered-list, [63.0, 1127.0, 656.0, 18.0], fmKO7kRnR7, 5657193]
[unordered-list, [63.0, 1145.0, 656.0, 18.0], fmKO7kRnR7, 5657193]
[unordered-list, [63.0, 1163.0, 656.0, 18.0], fmKO7kRnR7, 5657193]
[unordered-list, [63.0, 1181.0, 656.0, 18.0], fmKO7kRnR7, 5657193]
[unordered-list, [63.0, 1199.0, 656.0, 18.0], fmKO7kRnR7, 5657193]
[footnote, [78.0, 1241.0, 788.0, 18.0], shoonya_18s04KUVHHH7JA, 5657193]
[footnote, [78.0, 1259.0, 788.0, 18.0], shoonya_18s04KUVHHH7JA, 5657193]
