[1363, 852]
[paragraph, [230.0, 85.0, 577.0, 18.0], f1ZWa9NbMu, 5781882]
[paragraph, [230.0, 103.0, 577.0, 18.0], f1ZWa9NbMu, 5781882]
[paragraph, [230.0, 121.0, 577.0, 18.0], f1ZWa9NbMu, 5781882]
[ordered-list, [142.0, 168.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 186.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 204.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 222.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 240.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 258.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 276.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 294.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 312.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 330.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 348.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 366.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 384.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 402.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 420.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 438.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 456.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 474.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 492.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 510.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 528.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 546.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 564.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 582.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 600.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[ordered-list, [142.0, 618.0, 666.0, 18.0], bu0teUx0tu, 5781882]
[sub-ordered-list, [173.0, 225.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 243.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 261.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 279.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 297.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 315.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 333.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 351.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 369.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [173.0, 387.0, 628.0, 18.0], vOU7Z3o8yq, 5781882]
[sub-ordered-list, [174.0, 487.0, 627.0, 18.0], g_jKUXWqiD, 5781882]
[sub-ordered-list, [174.0, 505.0, 627.0, 18.0], g_jKUXWqiD, 5781882]
[sub-ordered-list, [174.0, 523.0, 627.0, 18.0], g_jKUXWqiD, 5781882]
[sub-ordered-list, [174.0, 541.0, 627.0, 18.0], g_jKUXWqiD, 5781882]
[sub-ordered-list, [174.0, 559.0, 627.0, 18.0], g_jKUXWqiD, 5781882]
