[3509, 2480]
[paragraph, [368.0, 399.0, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 451.5, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 504.0, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 556.5, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 609.0, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 661.5, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 714.0, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 766.5, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [368.0, 819.0, 1754.0, 52.5], IG6pIwkNz8, 5724292]
[paragraph, [351.0, 920.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 972.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1025.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1077.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1130.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1182.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1235.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1287.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1340.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1392.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1445.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1497.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1550.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1602.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1655.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1707.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1760.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1812.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1865.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1917.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 1970.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 2022.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 2075.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 2127.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 2180.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 2232.5, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [351.0, 2285.0, 1777.0, 52.5], shoonya_2s913RC39R9K9I, 5724292]
[paragraph, [359.0, 2377.0, 1773.0, 52.5], rASwchBUwx, 5724292]
[paragraph, [359.0, 2429.5, 1773.0, 52.5], rASwchBUwx, 5724292]
[paragraph, [359.0, 2482.0, 1773.0, 52.5], rASwchBUwx, 5724292]
[paragraph, [359.0, 2534.5, 1773.0, 52.5], rASwchBUwx, 5724292]
[paragraph, [359.0, 2587.0, 1773.0, 52.5], rASwchBUwx, 5724292]
[paragraph, [359.0, 2639.5, 1773.0, 52.5], rASwchBUwx, 5724292]
[paragraph, [359.0, 2692.0, 1773.0, 52.5], rASwchBUwx, 5724292]
[footnote, [365.0, 2827.0, 1781.0, 52.5], shoonya_0sRNEXL9U0E0KO, 5724292]
[footnote, [365.0, 2879.5, 1781.0, 52.5], shoonya_0sRNEXL9U0E0KO, 5724292]
[footnote, [365.0, 2932.0, 1781.0, 52.5], shoonya_0sRNEXL9U0E0KO, 5724292]
[footnote, [365.0, 2984.5, 1781.0, 52.5], shoonya_0sRNEXL9U0E0KO, 5724292]
[footnote, [365.0, 3037.0, 1781.0, 52.5], shoonya_0sRNEXL9U0E0KO, 5724292]
[footnote, [365.0, 3089.5, 1781.0, 52.5], shoonya_0sRNEXL9U0E0KO, 5724292]
