[1806, 1262]
[paragraph, [96.0, 180.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 216.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 252.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 288.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 324.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 360.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 396.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 432.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 468.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 504.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 540.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 576.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 612.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [96.0, 648.0, 504.0, 36.0], shoonya_3sYO77WMUJ2S0I, 5681630]
[paragraph, [652.0, 182.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 218.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 254.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 290.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 326.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 362.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 398.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 434.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 470.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 506.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [652.0, 542.0, 510.0, 36.0], shoonya_6sI711B5VX603Y, 5681630]
[paragraph, [646.0, 619.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 655.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 691.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 727.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 763.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 799.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 835.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 871.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 907.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 943.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 979.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 1015.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 1051.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 1087.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
[paragraph, [646.0, 1123.0, 517.0, 36.0], F2x2-EWVVH, 5681630]
