[1037, 698]
[paragraph, [62.0, 113.0, 567.0, 18.0], shoonya_0sJJKPOFCZVNFW, 5772671]
[paragraph, [62.0, 131.0, 567.0, 18.0], shoonya_0sJJKPOFCZVNFW, 5772671]
[paragraph, [62.0, 149.0, 567.0, 18.0], shoonya_0sJJKPOFCZVNFW, 5772671]
[paragraph, [62.0, 167.0, 567.0, 18.0], shoonya_0sJJKPOFCZVNFW, 5772671]
[paragraph, [62.0, 185.0, 567.0, 18.0], shoonya_0sJJKPOFCZVNFW, 5772671]
[paragraph, [62.0, 203.0, 567.0, 18.0], shoonya_0sJJKPOFCZVNFW, 5772671]
[paragraph, [66.0, 253.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 271.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 289.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 307.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 325.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 343.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 361.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 379.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 397.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 415.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 433.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 451.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 469.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 487.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 505.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 523.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 541.0, 561.0, 18.0], QyAbPLS8sr, 5772671]
[paragraph, [66.0, 574.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 592.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 610.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 628.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 646.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 664.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 682.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 700.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 718.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 736.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 754.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 772.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [66.0, 790.0, 565.0, 18.0], mJ8EcEdVkk, 5772671]
[paragraph, [68.0, 822.0, 561.0, 18.0], xN-EAE7IWb, 5772671]
[paragraph, [68.0, 840.0, 561.0, 18.0], xN-EAE7IWb, 5772671]
[paragraph, [68.0, 858.0, 561.0, 18.0], xN-EAE7IWb, 5772671]
[paragraph, [68.0, 876.0, 561.0, 18.0], xN-EAE7IWb, 5772671]
[paragraph, [68.0, 894.0, 561.0, 18.0], xN-EAE7IWb, 5772671]
[paragraph, [68.0, 912.0, 561.0, 18.0], xN-EAE7IWb, 5772671]
[folio, [136.0, 937.0, 39.0, 18.0], shoonya_6sFKIHD836B0F5, 5772671]
[folio, [136.0, 955.0, 39.0, 18.0], shoonya_6sFKIHD836B0F5, 5772671]
