[1507, 1065]
[ordered-list, [12.0, 43.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 79.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 115.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 151.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 187.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 223.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 259.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 295.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 331.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 367.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 403.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 439.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 475.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 511.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 547.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 583.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 619.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 655.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 691.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 727.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 763.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 799.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 835.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 871.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 907.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 943.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 979.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1015.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1051.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1087.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1123.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1159.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1195.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1231.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1267.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1303.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1339.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
[ordered-list, [12.0, 1375.0, 1050.0, 36.0], shoonya_0sVOBJOEF6WSIX, 5699014]
