[1565, 1152]
[section-title, [370.0, 220.0, 142.0, 49.5], BJFtmFBdvP, 5712612]
[paragraph, [132.0, 312.0, 575.0, 36.0], WYde-c73l3, 5712612]
[paragraph, [132.0, 348.0, 575.0, 36.0], WYde-c73l3, 5712612]
[paragraph, [132.0, 384.0, 575.0, 36.0], WYde-c73l3, 5712612]
[paragraph, [132.0, 420.0, 575.0, 36.0], WYde-c73l3, 5712612]
[paragraph, [758.0, 437.0, 285.0, 36.0], shoonya_0s349S5USCLLF4, 5712612]
[paragraph, [758.0, 473.0, 285.0, 36.0], shoonya_0s349S5USCLLF4, 5712612]
[paragraph, [758.0, 509.0, 285.0, 36.0], shoonya_0s349S5USCLLF4, 5712612]
[paragraph, [758.0, 545.0, 285.0, 36.0], shoonya_0s349S5USCLLF4, 5712612]
[paragraph, [758.0, 581.0, 285.0, 36.0], shoonya_0s349S5USCLLF4, 5712612]
[paragraph, [133.0, 480.0, 576.0, 36.0], -d7djAdkyy, 5712612]
[paragraph, [133.0, 516.0, 576.0, 36.0], -d7djAdkyy, 5712612]
[paragraph, [133.0, 552.0, 576.0, 36.0], -d7djAdkyy, 5712612]
[paragraph, [138.0, 605.0, 566.0, 36.0], dL5JgkRiJY, 5712612]
[paragraph, [138.0, 641.0, 566.0, 36.0], dL5JgkRiJY, 5712612]
[paragraph, [138.0, 677.0, 566.0, 36.0], dL5JgkRiJY, 5712612]
[website-link, [758.0, 625.0, 270.0, 18.0], shoonya_1s0QC40M8FI4SC, 5712612]
[website-link, [758.0, 643.0, 270.0, 18.0], shoonya_1s0QC40M8FI4SC, 5712612]
[website-link, [758.0, 661.0, 270.0, 18.0], shoonya_1s0QC40M8FI4SC, 5712612]
[website-link, [758.0, 679.0, 270.0, 18.0], shoonya_1s0QC40M8FI4SC, 5712612]
[website-link, [758.0, 697.0, 270.0, 18.0], shoonya_1s0QC40M8FI4SC, 5712612]
[website-link, [758.0, 715.0, 270.0, 18.0], shoonya_1s0QC40M8FI4SC, 5712612]
[website-link, [758.0, 733.0, 270.0, 18.0], shoonya_1s0QC40M8FI4SC, 5712612]
[author, [480.0, 729.0, 238.0, 36.0], Gv-zHO-7tl, 5712612]
[paragraph, [130.0, 794.0, 579.0, 36.0], JIC06IT_G8, 5712612]
[paragraph, [130.0, 830.0, 579.0, 36.0], JIC06IT_G8, 5712612]
[paragraph, [130.0, 866.0, 579.0, 36.0], JIC06IT_G8, 5712612]
[paragraph, [130.0, 902.0, 579.0, 36.0], JIC06IT_G8, 5712612]
[paragraph, [130.0, 938.0, 579.0, 36.0], JIC06IT_G8, 5712612]
[folio, [748.0, 842.0, 309.0, 36.0], Rl-rIDn_bH, 5712612]
[folio, [748.0, 878.0, 309.0, 36.0], Rl-rIDn_bH, 5712612]
[folio, [748.0, 914.0, 309.0, 36.0], Rl-rIDn_bH, 5712612]
[folio, [748.0, 950.0, 309.0, 36.0], Rl-rIDn_bH, 5712612]
[folio, [748.0, 986.0, 309.0, 36.0], Rl-rIDn_bH, 5712612]
[contact-info, [730.0, 1034.0, 392.0, 36.0], Ga1HeQjGBa, 5712612]
[contact-info, [730.0, 1070.0, 392.0, 36.0], Ga1HeQjGBa, 5712612]
[contact-info, [730.0, 1106.0, 392.0, 36.0], Ga1HeQjGBa, 5712612]
[contact-info, [730.0, 1142.0, 392.0, 36.0], Ga1HeQjGBa, 5712612]
[contact-info, [730.0, 1178.0, 392.0, 36.0], Ga1HeQjGBa, 5712612]
[contact-info, [730.0, 1214.0, 392.0, 36.0], Ga1HeQjGBa, 5712612]
[paragraph, [135.0, 1060.0, 576.0, 36.0], fuPUsRjuOt, 5712612]
[paragraph, [135.0, 1096.0, 576.0, 36.0], fuPUsRjuOt, 5712612]
[paragraph, [135.0, 1132.0, 576.0, 36.0], fuPUsRjuOt, 5712612]
[paragraph, [135.0, 1168.0, 576.0, 36.0], fuPUsRjuOt, 5712612]
[folio, [331.0, 1324.0, 641.0, 36.0], shoonya_4sDJOLDZMHLRP9, 5712612]
[folio, [331.0, 1360.0, 641.0, 36.0], shoonya_4sDJOLDZMHLRP9, 5712612]
