[818, 504]
[folio, [392.0, 31.0, 56.0, 18.0], 6c6pIFoHL4, 5773677]
[sub-headline, [67.0, 101.0, 315.0, 25.5], 1n6PoIxv5Z, 5773677]
[paragraph, [64.0, 128.0, 377.0, 18.0], hMTa7uH-4u, 5773677]
[paragraph, [64.0, 146.0, 377.0, 18.0], hMTa7uH-4u, 5773677]
[paragraph, [64.0, 164.0, 377.0, 18.0], hMTa7uH-4u, 5773677]
[paragraph, [64.0, 182.0, 377.0, 18.0], hMTa7uH-4u, 5773677]
[paragraph, [66.0, 216.0, 376.0, 18.0], shoonya_0s66FFD4FU6M23, 5773677]
[paragraph, [66.0, 234.0, 376.0, 18.0], shoonya_0s66FFD4FU6M23, 5773677]
[paragraph, [66.0, 252.0, 376.0, 18.0], shoonya_0s66FFD4FU6M23, 5773677]
[paragraph, [66.0, 270.0, 376.0, 18.0], shoonya_0s66FFD4FU6M23, 5773677]
[paragraph, [66.0, 288.0, 376.0, 18.0], shoonya_0s66FFD4FU6M23, 5773677]
[paragraph, [68.0, 314.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 332.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 350.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 368.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 386.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 404.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 422.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 440.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 458.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [68.0, 476.0, 374.0, 18.0], 4cc1nJRywP, 5773677]
[paragraph, [65.0, 502.0, 376.0, 18.0], aRSRsQ_Ayp, 5773677]
[paragraph, [65.0, 520.0, 376.0, 18.0], aRSRsQ_Ayp, 5773677]
[paragraph, [65.0, 538.0, 376.0, 18.0], aRSRsQ_Ayp, 5773677]
[paragraph, [65.0, 556.0, 376.0, 18.0], aRSRsQ_Ayp, 5773677]
[paragraph, [65.0, 574.0, 376.0, 18.0], aRSRsQ_Ayp, 5773677]
[paragraph, [65.0, 592.0, 376.0, 18.0], aRSRsQ_Ayp, 5773677]
[paragraph, [65.0, 610.0, 376.0, 18.0], aRSRsQ_Ayp, 5773677]
[paragraph, [65.0, 637.0, 375.0, 18.0], H1C8PoTfBk, 5773677]
[paragraph, [65.0, 655.0, 375.0, 18.0], H1C8PoTfBk, 5773677]
[paragraph, [65.0, 673.0, 375.0, 18.0], H1C8PoTfBk, 5773677]
[paragraph, [65.0, 691.0, 375.0, 18.0], H1C8PoTfBk, 5773677]
[paragraph, [65.0, 709.0, 375.0, 18.0], H1C8PoTfBk, 5773677]
[paragraph, [65.0, 727.0, 375.0, 18.0], H1C8PoTfBk, 5773677]
