[1754, 1241]
[paragraph, [137.0, 155.0, 973.0, 36.0], shoonya_0sDQQ2XNHW1MSN, 5746730]
[paragraph, [137.0, 191.0, 973.0, 36.0], shoonya_0sDQQ2XNHW1MSN, 5746730]
[paragraph, [137.0, 227.0, 973.0, 36.0], shoonya_0sDQQ2XNHW1MSN, 5746730]
[paragraph, [137.0, 263.0, 973.0, 36.0], shoonya_0sDQQ2XNHW1MSN, 5746730]
[paragraph, [137.0, 299.0, 973.0, 36.0], shoonya_0sDQQ2XNHW1MSN, 5746730]
[paragraph, [127.0, 352.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 388.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 424.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 460.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 496.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 532.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 568.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 604.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 640.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 676.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 712.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 748.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 784.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 820.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 856.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 892.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [127.0, 928.0, 977.0, 36.0], oNnFCjtyRQ, 5746730]
[paragraph, [130.0, 980.0, 972.0, 36.0], 2_zgIyeaB8, 5746730]
[paragraph, [130.0, 1016.0, 972.0, 36.0], 2_zgIyeaB8, 5746730]
[paragraph, [130.0, 1052.0, 972.0, 36.0], 2_zgIyeaB8, 5746730]
[paragraph, [130.0, 1088.0, 972.0, 36.0], 2_zgIyeaB8, 5746730]
[paragraph, [130.0, 1124.0, 972.0, 36.0], 2_zgIyeaB8, 5746730]
[paragraph, [130.0, 1160.0, 972.0, 36.0], 2_zgIyeaB8, 5746730]
[paragraph, [128.0, 1232.0, 972.0, 36.0], FIw7yq4N5i, 5746730]
[paragraph, [128.0, 1268.0, 972.0, 36.0], FIw7yq4N5i, 5746730]
[paragraph, [128.0, 1304.0, 972.0, 36.0], FIw7yq4N5i, 5746730]
[paragraph, [128.0, 1340.0, 972.0, 36.0], FIw7yq4N5i, 5746730]
[paragraph, [128.0, 1376.0, 972.0, 36.0], FIw7yq4N5i, 5746730]
[paragraph, [128.0, 1412.0, 972.0, 36.0], FIw7yq4N5i, 5746730]
