[1518, 1075]
[folio, [318.0, 167.0, 139.0, 36.0], XfwM1e0DSB, 5722170]
[folio, [318.0, 203.0, 139.0, 36.0], XfwM1e0DSB, 5722170]
[headline, [303.0, 260.0, 631.0, 37.5], B8rLRdynZy, 5722170]
[headline, [303.0, 297.5, 631.0, 37.5], B8rLRdynZy, 5722170]
[paragraph, [307.0, 351.0, 618.0, 36.0], T189BCCQb6, 5722170]
[paragraph, [307.0, 387.0, 618.0, 36.0], T189BCCQb6, 5722170]
[paragraph, [82.0, 436.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 472.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 508.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 544.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 580.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 616.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 652.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 688.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 724.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 760.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 796.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 832.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 868.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 904.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 940.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [82.0, 976.0, 440.0, 36.0], shoonya_0sKIM7Q0MDORUO, 5722170]
[paragraph, [529.0, 437.0, 436.0, 36.0], 5-o4A5dblK, 5722170]
[paragraph, [529.0, 473.0, 436.0, 36.0], 5-o4A5dblK, 5722170]
[paragraph, [533.0, 529.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 565.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 601.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 637.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 673.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 709.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 745.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 781.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 817.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [533.0, 853.0, 436.0, 36.0], Q2qzzvwDaD, 5722170]
[paragraph, [532.0, 925.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 961.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 997.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 1033.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 1069.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 1105.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 1141.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 1177.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [532.0, 1213.0, 435.0, 36.0], CMIHzvuO3x, 5722170]
[paragraph, [80.0, 1018.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[paragraph, [80.0, 1054.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[paragraph, [80.0, 1090.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[paragraph, [80.0, 1126.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[paragraph, [80.0, 1162.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[paragraph, [80.0, 1198.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[paragraph, [80.0, 1234.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[paragraph, [80.0, 1270.0, 442.0, 36.0], Q-ybwdzkwl, 5722170]
[footnote, [533.0, 1286.0, 419.0, 36.0], w1ByJ2Mr-9, 5722170]
[folio, [228.0, 1344.0, 592.0, 36.0], qaGV1dAo8u, 5722170]
