[1612, 1010]
[paragraph, [131.0, 91.0, 751.0, 36.0], shoonya_4sU1UVLN5F0BZE, 5691674]
[paragraph, [131.0, 127.0, 751.0, 36.0], shoonya_4sU1UVLN5F0BZE, 5691674]
[paragraph, [131.0, 163.0, 751.0, 36.0], shoonya_4sU1UVLN5F0BZE, 5691674]
[paragraph, [131.0, 199.0, 751.0, 36.0], shoonya_4sU1UVLN5F0BZE, 5691674]
[paragraph, [131.0, 235.0, 751.0, 36.0], shoonya_4sU1UVLN5F0BZE, 5691674]
[paragraph, [131.0, 271.0, 751.0, 36.0], shoonya_4sU1UVLN5F0BZE, 5691674]
[paragraph, [131.0, 307.0, 751.0, 36.0], shoonya_4sU1UVLN5F0BZE, 5691674]
[paragraph, [90.0, 356.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 392.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 428.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 464.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 500.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 536.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 572.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 608.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [90.0, 644.0, 810.0, 36.0], shoonya_0sI4RW49XHD7LR, 5691674]
[paragraph, [86.0, 683.0, 814.0, 36.0], shoonya_2sSR7L8M2BWOZZ, 5691674]
[paragraph, [86.0, 719.0, 814.0, 36.0], shoonya_2sSR7L8M2BWOZZ, 5691674]
[paragraph, [86.0, 755.0, 814.0, 36.0], shoonya_2sSR7L8M2BWOZZ, 5691674]
[paragraph, [86.0, 791.0, 814.0, 36.0], shoonya_2sSR7L8M2BWOZZ, 5691674]
[paragraph, [86.0, 827.0, 814.0, 36.0], shoonya_2sSR7L8M2BWOZZ, 5691674]
[paragraph, [86.0, 863.0, 814.0, 36.0], shoonya_2sSR7L8M2BWOZZ, 5691674]
[paragraph, [84.0, 903.0, 827.0, 36.0], shoonya_1s9VHVCOOI3K0S, 5691674]
[paragraph, [84.0, 939.0, 827.0, 36.0], shoonya_1s9VHVCOOI3K0S, 5691674]
[paragraph, [84.0, 975.0, 827.0, 36.0], shoonya_1s9VHVCOOI3K0S, 5691674]
[paragraph, [84.0, 1011.0, 827.0, 36.0], shoonya_1s9VHVCOOI3K0S, 5691674]
[paragraph, [84.0, 1047.0, 827.0, 36.0], shoonya_1s9VHVCOOI3K0S, 5691674]
[paragraph, [84.0, 1083.0, 827.0, 36.0], shoonya_1s9VHVCOOI3K0S, 5691674]
[paragraph, [84.0, 1119.0, 827.0, 36.0], shoonya_1s9VHVCOOI3K0S, 5691674]
[paragraph, [84.0, 1164.0, 834.0, 36.0], Bh2pjq8MuO, 5691674]
[paragraph, [84.0, 1200.0, 834.0, 36.0], Bh2pjq8MuO, 5691674]
[paragraph, [85.0, 1252.0, 834.0, 36.0], L3gdeq5XWL, 5691674]
[paragraph, [85.0, 1288.0, 834.0, 36.0], L3gdeq5XWL, 5691674]
[paragraph, [85.0, 1324.0, 834.0, 36.0], L3gdeq5XWL, 5691674]
[paragraph, [85.0, 1360.0, 834.0, 36.0], L3gdeq5XWL, 5691674]
[paragraph, [85.0, 1396.0, 834.0, 36.0], L3gdeq5XWL, 5691674]
