[2175, 1462]
[folio, [149.0, 144.0, 156.0, 36.0], Vf2QyvlXWT, 5655052]
[paragraph, [141.0, 249.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 285.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 321.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 357.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 393.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 429.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 465.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 501.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 537.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 573.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 609.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 645.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 681.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [141.0, 717.0, 1169.0, 36.0], shoonya_0sROGKM9B480IP, 5655052]
[paragraph, [144.0, 820.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 856.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 892.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 928.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 964.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 1000.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 1036.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 1072.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 1108.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 1144.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 1180.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [144.0, 1216.0, 1175.0, 36.0], shoonya_3s2N6PMPM19BR7, 5655052]
[paragraph, [146.0, 1413.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1449.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1485.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1521.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1557.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1593.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1629.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1665.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1701.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1737.0, 1169.0, 36.0], shoonya_2sGX5XSP7Q8CD5, 5655052]
[paragraph, [146.0, 1820.0, 1165.0, 36.0], shoonya_1sANDPGHXJ3QZZ, 5655052]
[paragraph, [146.0, 1856.0, 1165.0, 36.0], shoonya_1sANDPGHXJ3QZZ, 5655052]
[paragraph, [146.0, 1892.0, 1165.0, 36.0], shoonya_1sANDPGHXJ3QZZ, 5655052]
[paragraph, [146.0, 1928.0, 1165.0, 36.0], shoonya_1sANDPGHXJ3QZZ, 5655052]
[paragraph, [146.0, 1964.0, 1165.0, 36.0], shoonya_1sANDPGHXJ3QZZ, 5655052]
