[1447, 1063]
[folio, [444.0, 56.0, 196.0, 18.0], suo_EICR6K, 5762325]
[headline, [113.0, 95.0, 832.0, 25.5], Lsq99Q5dER, 5762325]
[headline, [113.0, 120.5, 832.0, 25.5], Lsq99Q5dER, 5762325]
[headline, [113.0, 146.0, 832.0, 25.5], Lsq99Q5dER, 5762325]
[headline, [113.0, 171.5, 832.0, 25.5], Lsq99Q5dER, 5762325]
[headline, [113.0, 197.0, 832.0, 25.5], Lsq99Q5dER, 5762325]
[paragraph, [85.0, 243.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 261.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 279.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 297.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 315.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 333.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 351.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 369.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 387.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 405.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 423.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 441.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 459.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 477.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 495.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 513.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 531.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 549.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [85.0, 567.0, 437.0, 18.0], p8YtkXETv9, 5762325]
[paragraph, [533.0, 247.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 265.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 283.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 301.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 319.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 337.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 355.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 373.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 391.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 409.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 427.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 445.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 463.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 481.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 499.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 517.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 535.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 553.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 571.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 589.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 607.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 625.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [533.0, 643.0, 436.0, 18.0], qFRhQaFbFp, 5762325]
[paragraph, [89.0, 604.0, 436.0, 18.0], XNyEo2QRs9, 5762325]
[paragraph, [89.0, 622.0, 436.0, 18.0], XNyEo2QRs9, 5762325]
[paragraph, [89.0, 640.0, 436.0, 18.0], XNyEo2QRs9, 5762325]
[paragraph, [89.0, 658.0, 436.0, 18.0], XNyEo2QRs9, 5762325]
