[1806, 1262]
[folio, [630.0, 101.0, 476.0, 36.0], shoonya_5sOAHMZMGU3401, 5681446]
[paragraph, [100.0, 175.0, 499.0, 36.0], shoonya_2s3OMO496SHHNI, 5681446]
[paragraph, [100.0, 211.0, 499.0, 36.0], shoonya_2s3OMO496SHHNI, 5681446]
[paragraph, [663.0, 178.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 214.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 250.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 286.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 322.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 358.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 394.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 430.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 466.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 502.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 538.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 574.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 610.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 646.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 682.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 718.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [663.0, 754.0, 498.0, 36.0], shoonya_3sY0VE39ALGL43, 5681446]
[paragraph, [100.0, 256.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 292.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 328.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 364.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 400.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 436.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 472.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 508.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 544.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [100.0, 580.0, 499.0, 36.0], c_RU86rNCs, 5681446]
[paragraph, [102.0, 686.0, 497.0, 36.0], shoonya_4sRJR563OZTQSK, 5681446]
[paragraph, [102.0, 722.0, 497.0, 36.0], shoonya_4sRJR563OZTQSK, 5681446]
[paragraph, [663.0, 799.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 835.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 871.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 907.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 943.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 979.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1015.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1051.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1087.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1123.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1159.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1195.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1231.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1267.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
[paragraph, [663.0, 1303.0, 495.0, 36.0], shoonya_0sM47EMYYCEF6H, 5681446]
