[1152, 739]
[paragraph, [93.0, 175.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 193.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 211.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 229.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 247.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 265.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 283.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 301.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 319.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 337.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 355.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 373.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [93.0, 391.0, 544.0, 18.0], KLo1d7dERX, 5741242]
[paragraph, [154.0, 423.0, 395.0, 18.0], ZJU3N9dAly, 5741242]
[paragraph, [95.0, 459.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 477.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 495.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 513.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 531.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 549.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 567.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 585.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [95.0, 603.0, 542.0, 18.0], e3lFDH2RHZ, 5741242]
[paragraph, [94.0, 632.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 650.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 668.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 686.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 704.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 722.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 740.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 758.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 776.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 794.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 812.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 830.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 848.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 866.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 884.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 902.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [94.0, 920.0, 545.0, 18.0], JmKPRzhblS, 5741242]
[paragraph, [99.0, 946.0, 538.0, 18.0], w-38z8V1vb, 5741242]
[paragraph, [99.0, 964.0, 538.0, 18.0], w-38z8V1vb, 5741242]
[paragraph, [99.0, 982.0, 538.0, 18.0], w-38z8V1vb, 5741242]
[paragraph, [99.0, 1000.0, 538.0, 18.0], w-38z8V1vb, 5741242]
[footnote, [423.0, 1109.0, 263.0, 18.0], Ftrav7aFdi, 5741242]
