[2339, 1653]
[paragraph, [169.0, 214.0, 892.0, 36.0], vTLqxWIjwZ, 5690027]
[ordered-list, [154.0, 304.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 340.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 376.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 412.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 448.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 484.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 520.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 556.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 592.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 628.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 664.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 700.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 736.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 772.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 808.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 844.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 880.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 916.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 952.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 988.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1024.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1060.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1096.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1132.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1168.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1204.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1240.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1276.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1312.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1348.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1384.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1420.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1456.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1492.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1528.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1564.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1600.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1636.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1672.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1708.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1744.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1780.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1816.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1852.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1888.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1924.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[ordered-list, [154.0, 1960.0, 1348.0, 36.0], Iy67PzLh4V, 5690027]
[section-title, [285.0, 884.0, 247.0, 52.5], rYAaUDmr_d, 5690027]
[section-title, [276.0, 1508.0, 142.0, 52.5], 0v7uj0GDFX, 5690027]
