[1565, 1152]
[author, [832.0, 70.0, 236.0, 36.0], XuPPkvwTZw, 5722671]
[headline, [276.0, 128.0, 787.0, 37.5], shoonya_7s4E8HZ3V52W6O, 5722671]
[paragraph, [449.0, 230.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 266.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 302.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 338.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 374.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 410.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 446.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 482.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [449.0, 518.0, 615.0, 36.0], shoonya_4sZM1PM0OTVBUO, 5722671]
[paragraph, [95.0, 562.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 598.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 634.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 670.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 706.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 742.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 778.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 814.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 850.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [95.0, 886.0, 335.0, 36.0], shoonya_1sXTE7SKWHBCPB, 5722671]
[paragraph, [451.0, 574.0, 613.0, 36.0], shoonya_2s84PD23MEJHLT, 5722671]
[paragraph, [451.0, 610.0, 613.0, 36.0], shoonya_2s84PD23MEJHLT, 5722671]
[paragraph, [451.0, 646.0, 613.0, 36.0], shoonya_2s84PD23MEJHLT, 5722671]
[paragraph, [451.0, 682.0, 613.0, 36.0], shoonya_2s84PD23MEJHLT, 5722671]
[paragraph, [451.0, 718.0, 613.0, 36.0], shoonya_2s84PD23MEJHLT, 5722671]
[paragraph, [451.0, 754.0, 613.0, 36.0], shoonya_2s84PD23MEJHLT, 5722671]
[paragraph, [451.0, 790.0, 613.0, 36.0], shoonya_2s84PD23MEJHLT, 5722671]
[paragraph, [450.0, 827.0, 616.0, 36.0], shoonya_5sUVN52PLCL142, 5722671]
[paragraph, [450.0, 863.0, 616.0, 36.0], shoonya_5sUVN52PLCL142, 5722671]
[paragraph, [450.0, 899.0, 616.0, 36.0], shoonya_5sUVN52PLCL142, 5722671]
