[2200, 1700]
[paragraph, [372.0, 113.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 149.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 185.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 221.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 257.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 293.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 329.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 365.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 401.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 437.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 473.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 509.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 545.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 581.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 617.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 653.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 689.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 725.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 761.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 797.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 833.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 869.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 905.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[paragraph, [372.0, 941.0, 1134.0, 36.0], shoonya_0sG5VGQJG6O2WO, 5733772]
[ordered-list, [366.0, 1175.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1211.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1247.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1283.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1319.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1355.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1391.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1427.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1463.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1499.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1535.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1571.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1607.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1643.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1679.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1715.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1751.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1787.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1823.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1859.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1895.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1931.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 1967.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[ordered-list, [366.0, 2003.0, 1140.0, 36.0], shoonya_1sIFJ5VBY65MT2, 5733772]
[folio, [863.0, 2143.0, 584.0, 36.0], shoonya_2sKF5KE72N9YF5, 5733772]
