[1754, 1241]
[section-title, [334.0, 299.0, 580.0, 49.5], Y2hvJ4FiPO, 6478004]
[section-title, [334.0, 348.5, 580.0, 49.5], Y2hvJ4FiPO, 6478004]
[paragraph, [128.0, 474.0, 878.0, 36.0], XwbWWPpU2n, 6478004]
[ordered-list, [139.0, 534.0, 297.0, 36.0], 3dFxHpzY1S, 6478004]
[ordered-list, [139.0, 570.0, 297.0, 36.0], 3dFxHpzY1S, 6478004]
[section-title, [114.0, 658.0, 539.0, 49.5], -BZW31JvZ6, 6478004]
[paragraph, [129.0, 721.0, 975.0, 36.0], shoonya_0s4XJND76KWGRL, 6478004]
[paragraph, [129.0, 757.0, 975.0, 36.0], shoonya_0s4XJND76KWGRL, 6478004]
[paragraph, [129.0, 793.0, 975.0, 36.0], shoonya_0s4XJND76KWGRL, 6478004]
[paragraph, [129.0, 829.0, 975.0, 36.0], shoonya_0s4XJND76KWGRL, 6478004]
[paragraph, [129.0, 865.0, 975.0, 36.0], shoonya_0s4XJND76KWGRL, 6478004]
[paragraph, [129.0, 901.0, 975.0, 36.0], shoonya_0s4XJND76KWGRL, 6478004]
[paragraph, [129.0, 937.0, 975.0, 36.0], shoonya_0s4XJND76KWGRL, 6478004]
[unordered-list, [171.0, 1070.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1106.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1142.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1178.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1214.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1250.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1286.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1322.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1358.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1394.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1430.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1466.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1502.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[unordered-list, [171.0, 1538.0, 866.0, 36.0], qAvjZ09lt5, 6478004]
[sub-unordered-list, [250.0, 1123.0, 443.0, 18.0], xPncoTyXo-, 6478004]
[sub-unordered-list, [250.0, 1141.0, 443.0, 18.0], xPncoTyXo-, 6478004]
[sub-unordered-list, [250.0, 1159.0, 443.0, 18.0], xPncoTyXo-, 6478004]
[sub-unordered-list, [250.0, 1177.0, 443.0, 18.0], xPncoTyXo-, 6478004]
[sub-unordered-list, [250.0, 1195.0, 443.0, 18.0], xPncoTyXo-, 6478004]
[sub-unordered-list, [250.0, 1213.0, 443.0, 18.0], xPncoTyXo-, 6478004]
[sub-unordered-list, [250.0, 1231.0, 443.0, 18.0], xPncoTyXo-, 6478004]
[sub-unordered-list, [244.0, 1306.0, 752.0, 18.0], S3q2hGTaz4, 6478004]
[sub-unordered-list, [244.0, 1324.0, 752.0, 18.0], S3q2hGTaz4, 6478004]
[sub-unordered-list, [244.0, 1342.0, 752.0, 18.0], S3q2hGTaz4, 6478004]
[sub-unordered-list, [244.0, 1360.0, 752.0, 18.0], S3q2hGTaz4, 6478004]
[sub-unordered-list, [244.0, 1441.0, 641.0, 18.0], eG-RMZuWct, 6478004]
[sub-unordered-list, [244.0, 1459.0, 641.0, 18.0], eG-RMZuWct, 6478004]
[sub-unordered-list, [244.0, 1477.0, 641.0, 18.0], eG-RMZuWct, 6478004]
[sub-unordered-list, [244.0, 1495.0, 641.0, 18.0], eG-RMZuWct, 6478004]
[sub-unordered-list, [244.0, 1513.0, 641.0, 18.0], eG-RMZuWct, 6478004]
[sub-unordered-list, [244.0, 1531.0, 641.0, 18.0], eG-RMZuWct, 6478004]
