[1654, 1654]
[folio, [195.0, 92.0, 323.0, 36.0], JU8XTzs9EA, 5736049]
[folio, [1275.0, 92.0, 182.0, 36.0], TLUqO2VKh-, 5736049]
[paragraph, [184.0, 205.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [184.0, 241.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [184.0, 277.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [184.0, 313.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [184.0, 349.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [184.0, 385.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [184.0, 421.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [184.0, 457.0, 1294.0, 36.0], shoonya_0sTH9XP8NFJIFE, 5736049]
[paragraph, [188.0, 643.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [188.0, 679.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [188.0, 715.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [188.0, 751.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [188.0, 787.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [188.0, 823.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [188.0, 859.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [188.0, 895.0, 1279.0, 36.0], XxMz1NfbxM, 5736049]
[paragraph, [182.0, 1093.0, 1283.0, 36.0], GY2qGn4ahy, 5736049]
[paragraph, [182.0, 1129.0, 1283.0, 36.0], GY2qGn4ahy, 5736049]
[paragraph, [182.0, 1165.0, 1283.0, 36.0], GY2qGn4ahy, 5736049]
[paragraph, [182.0, 1201.0, 1283.0, 36.0], GY2qGn4ahy, 5736049]
[paragraph, [182.0, 1237.0, 1283.0, 36.0], GY2qGn4ahy, 5736049]
[folio, [184.0, 1480.0, 186.0, 36.0], J-brIpysEa, 5736049]
[website-link, [1257.0, 1484.0, 182.0, 18.0], shoonya_3sKPZRMA94Q8DG, 5736049]
