[2200, 1700]
[paragraph, [207.0, 144.0, 1121.0, 36.0], shoonya_0sWY8EOYIUFKMQ, 5652416]
[paragraph, [207.0, 180.0, 1121.0, 36.0], shoonya_0sWY8EOYIUFKMQ, 5652416]
[paragraph, [207.0, 216.0, 1121.0, 36.0], shoonya_0sWY8EOYIUFKMQ, 5652416]
[paragraph, [207.0, 252.0, 1121.0, 36.0], shoonya_0sWY8EOYIUFKMQ, 5652416]
[paragraph, [207.0, 310.0, 1135.0, 36.0], ten2zjD7kr, 5652416]
[paragraph, [207.0, 346.0, 1135.0, 36.0], ten2zjD7kr, 5652416]
[paragraph, [207.0, 382.0, 1135.0, 36.0], ten2zjD7kr, 5652416]
[paragraph, [207.0, 418.0, 1135.0, 36.0], ten2zjD7kr, 5652416]
[paragraph, [207.0, 454.0, 1135.0, 36.0], ten2zjD7kr, 5652416]
[paragraph, [207.0, 490.0, 1135.0, 36.0], ten2zjD7kr, 5652416]
[paragraph, [213.0, 558.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 594.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 630.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 666.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 702.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 738.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 774.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 810.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 846.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 882.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 918.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [213.0, 954.0, 1122.0, 36.0], Pv7pnpl4Fj, 5652416]
[paragraph, [203.0, 998.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1034.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1070.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1106.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1142.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1178.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1214.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1250.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1286.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1322.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1358.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1394.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1430.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1466.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1502.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1538.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [203.0, 1574.0, 1126.0, 36.0], jPagAnUAMx, 5652416]
[paragraph, [218.0, 1622.0, 1095.0, 36.0], _aYSU9wBzO, 5652416]
[paragraph, [218.0, 1658.0, 1095.0, 36.0], _aYSU9wBzO, 5652416]
[paragraph, [218.0, 1694.0, 1095.0, 36.0], _aYSU9wBzO, 5652416]
[paragraph, [218.0, 1730.0, 1095.0, 36.0], _aYSU9wBzO, 5652416]
[paragraph, [218.0, 1766.0, 1095.0, 36.0], _aYSU9wBzO, 5652416]
[folio, [1097.0, 1860.0, 103.0, 36.0], 5_DPH78EFP, 5652416]
