[2339, 1656]
[paragraph, [177.0, 182.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [177.0, 218.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [177.0, 254.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [177.0, 290.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [177.0, 326.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [177.0, 362.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [177.0, 398.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [177.0, 434.0, 1291.0, 36.0], shoonya_4sOPQ8S5BU3KRL, 5752132]
[paragraph, [163.0, 527.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 563.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 599.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 635.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 671.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 707.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 743.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 779.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 815.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 851.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 887.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 923.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 959.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 995.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1031.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1067.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1103.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1139.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1175.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1211.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1247.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1283.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1319.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1355.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1391.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1427.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1463.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1499.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [163.0, 1535.0, 1315.0, 36.0], shoonya_1sNULGD67D74KH, 5752132]
[paragraph, [169.0, 1615.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1651.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1687.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1723.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1759.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1795.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1831.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1867.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1903.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1939.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 1975.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 2011.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 2047.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[paragraph, [169.0, 2083.0, 1298.0, 36.0], shoonya_0sTQF7SCSNBUAD, 5752132]
[folio, [279.0, 2142.0, 503.0, 36.0], rRvibYw6rv, 5752132]
[footnote, [1169.0, 2148.0, 195.0, 36.0], shoonya_3sZVXWTOCZUGLU, 5752132]
