[2183, 1474]
[folio, [180.0, 152.0, 178.0, 36.0], JfQO6EzyQn, 5654966]
[paragraph, [179.0, 266.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 302.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 338.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 374.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 410.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 446.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 482.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 518.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 554.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [179.0, 590.0, 1161.0, 36.0], shoonya_1sMD426S637FJU, 5654966]
[paragraph, [177.0, 676.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 712.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 748.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 784.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 820.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 856.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 892.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 928.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 964.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1000.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1036.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1072.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1108.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1144.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1180.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1216.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1252.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1288.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1324.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1360.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1396.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1432.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1468.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1504.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1540.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1576.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1612.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1648.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [177.0, 1684.0, 1171.0, 36.0], shoonya_0s8S04587V5GN9, 5654966]
[paragraph, [187.0, 1772.0, 1160.0, 36.0], _gUm8r5l-B, 5654966]
[paragraph, [187.0, 1808.0, 1160.0, 36.0], _gUm8r5l-B, 5654966]
[paragraph, [187.0, 1844.0, 1160.0, 36.0], _gUm8r5l-B, 5654966]
[paragraph, [187.0, 1880.0, 1160.0, 36.0], _gUm8r5l-B, 5654966]
[reference, [175.0, 1956.0, 928.0, 36.0], cHY5BPGE6J, 5654966]
[reference, [175.0, 1992.0, 928.0, 36.0], cHY5BPGE6J, 5654966]
