[792, 612]
[section-title, [173.0, 166.0, 121.0, 30.0], Q_0xwbrmxH, 6514792]
[paragraph, [175.0, 239.0, 297.0, 18.0], shoonya_0sY56WGEHRW4ZS, 6514792]
[paragraph, [175.0, 257.0, 297.0, 18.0], shoonya_0sY56WGEHRW4ZS, 6514792]
[paragraph, [175.0, 275.0, 297.0, 18.0], shoonya_0sY56WGEHRW4ZS, 6514792]
[paragraph, [211.0, 302.0, 264.0, 18.0], shoonya_2s3221D0YDNRR4, 6514792]
[paragraph, [211.0, 320.0, 264.0, 18.0], shoonya_2s3221D0YDNRR4, 6514792]
[paragraph, [211.0, 338.0, 264.0, 18.0], shoonya_2s3221D0YDNRR4, 6514792]
[paragraph, [211.0, 356.0, 264.0, 18.0], shoonya_2s3221D0YDNRR4, 6514792]
[paragraph, [174.0, 388.0, 297.0, 18.0], shoonya_1sOWF4AC3HO6X5, 6514792]
[paragraph, [174.0, 406.0, 297.0, 18.0], shoonya_1sOWF4AC3HO6X5, 6514792]
[paragraph, [174.0, 424.0, 297.0, 18.0], shoonya_1sOWF4AC3HO6X5, 6514792]
[paragraph, [174.0, 442.0, 297.0, 18.0], shoonya_1sOWF4AC3HO6X5, 6514792]
[paragraph, [174.0, 460.0, 297.0, 18.0], shoonya_1sOWF4AC3HO6X5, 6514792]
[paragraph, [176.0, 489.0, 297.0, 18.0], shoonya_3sDM9ZHFO6DZKU, 6514792]
[paragraph, [176.0, 507.0, 297.0, 18.0], shoonya_3sDM9ZHFO6DZKU, 6514792]
