[3508, 2481]
[contact-info, [312.0, 101.0, 1844.0, 52.5], shoonya_2s4H8T5MSNEE3X, 6491038]
[contact-info, [312.0, 153.5, 1844.0, 52.5], shoonya_2s4H8T5MSNEE3X, 6491038]
[contact-info, [312.0, 206.0, 1844.0, 52.5], shoonya_2s4H8T5MSNEE3X, 6491038]
[contact-info, [312.0, 258.5, 1844.0, 52.5], shoonya_2s4H8T5MSNEE3X, 6491038]
[contact-info, [312.0, 311.0, 1844.0, 52.5], shoonya_2s4H8T5MSNEE3X, 6491038]
[contact-info, [312.0, 363.5, 1844.0, 52.5], shoonya_2s4H8T5MSNEE3X, 6491038]
[contact-info, [312.0, 416.0, 1844.0, 52.5], shoonya_2s4H8T5MSNEE3X, 6491038]
[headline, [729.0, 563.0, 1019.0, 52.5], shoonya_1s8FPLPX0OR0ZN, 6491038]
[headline, [729.0, 615.5, 1019.0, 52.5], shoonya_1s8FPLPX0OR0ZN, 6491038]
[dateline, [217.0, 960.0, 431.0, 52.5], gSiTTyJZOS, 6491038]
[paragraph, [224.0, 1230.0, 453.0, 52.5], shoonya_11sVXPM3I66TFG, 6491038]
[paragraph, [224.0, 1342.0, 2045.0, 52.5], shoonya_3s0N3GBBFDSITL, 6491038]
[paragraph, [224.0, 1394.5, 2045.0, 52.5], shoonya_3s0N3GBBFDSITL, 6491038]
[paragraph, [224.0, 1447.0, 2045.0, 52.5], shoonya_3s0N3GBBFDSITL, 6491038]
[paragraph, [224.0, 1499.5, 2045.0, 52.5], shoonya_3s0N3GBBFDSITL, 6491038]
[paragraph, [224.0, 1552.0, 2045.0, 52.5], shoonya_3s0N3GBBFDSITL, 6491038]
[paragraph, [224.0, 1604.5, 2045.0, 52.5], shoonya_3s0N3GBBFDSITL, 6491038]
[paragraph, [221.0, 1697.0, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 1749.5, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 1802.0, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 1854.5, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 1907.0, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 1959.5, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 2012.0, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 2064.5, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 2117.0, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 2169.5, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 2222.0, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[paragraph, [221.0, 2274.5, 2066.0, 52.5], shoonya_0sLC9XULJG832Z, 6491038]
[section-title, [217.0, 2469.0, 471.0, 93.0], UMMgf7bdTg, 6491038]
[sub-section-title, [210.0, 2621.0, 744.0, 73.5], WnYtvG_3jI, 6491038]
[paragraph, [220.0, 2720.0, 2056.0, 52.5], ujynLYPHUm, 6491038]
[paragraph, [220.0, 2772.5, 2056.0, 52.5], ujynLYPHUm, 6491038]
[paragraph, [220.0, 2825.0, 2056.0, 52.5], ujynLYPHUm, 6491038]
[sub-section-title, [223.0, 2934.0, 716.0, 73.5], pib4p6-fTn, 6491038]
[paragraph, [217.0, 3052.0, 1100.0, 52.5], Egs3cNEPZ4, 6491038]
