[3509, 2480]
[paragraph, [355.0, 392.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 444.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 497.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 549.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 602.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 654.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 707.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 759.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 812.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 864.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 917.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 969.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1022.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1074.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1127.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1179.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1232.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1284.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1337.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1389.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1442.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1494.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1547.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1599.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1652.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1704.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1757.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1809.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1862.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1914.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 1967.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2019.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2072.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2124.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2177.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2229.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2282.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2334.5, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [355.0, 2387.0, 1780.0, 52.5], shoonya_1sHQSZH7OVD3RP, 5723905]
[paragraph, [361.0, 2504.0, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2556.5, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2609.0, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2661.5, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2714.0, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2766.5, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2819.0, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2871.5, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2924.0, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 2976.5, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 3029.0, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
[paragraph, [361.0, 3081.5, 1777.0, 52.5], shoonya_2s3BA73H6G75YW, 5723905]
